Player,weighted_pred,scaled_pred
Ederson,88.14835514405634,3.693687678128469
João Cancelo,88.3915539325114,3.785526867233763
Rodri,87.50666458599585,3.4513659918932245
Bernardo Silva,86.60290821223154,3.1100803586772012
Aymeric Laporte,86.94222412478388,3.2382162694573973
Rúben Dias,87.2370028902783,3.3495336117864705
Kevin De Bruyne,86.60225618469316,3.1098341334357866
Phil Foden,87.30791480669286,3.376312087710576
Raheem Sterling,86.64788924618752,3.1270665521935315
Jack Grealish,85.99605117712191,2.8809128600997584
Gabriel Jesus,86.32615970155581,3.005571783745491
İlkay Gündoğan,87.76582784764388,3.549233847020455
Kyle Walker,82.89184237178354,1.7086700980908143
Riyad Mahrez,83.56571764131496,1.9631457009711841
John Stones,80.48767725729758,0.8007849232005351
Oleksandr Zinchenko,84.35965586658338,2.2629606929435693
Fernandinho,81.80161436825611,1.2969671598488166
Nathan Aké,81.05322472090688,1.0143526830910492
Ferrán Torres,78.36712365667543,0.0
Cole Palmer,78.36712365667543,0.0
Zack Steffen,78.36712365667543,0.0
Benjamin Mendy,78.36712365667543,0.0
James Mcatee,78.36712365667543,0.0
Liam Delap,78.36712365667543,0.0
Kayky Chagas,78.36712365667543,0.0
CJ Egan-Riley,78.36712365667543,0.0
Scott Carson,78.36712365667543,0.0
Thomas Doyle,78.36712365667543,0.0
Samuel Edozie,78.36712365667543,0.0
Roméo Lavia,78.36712365667543,0.0
Luke Mbete-Tatu,78.36712365667543,0.0
Cieran Slicker,78.36712365667543,0.0
Josh Wilson-Esbrand,78.36712365667543,0.0
Alisson,87.27274295832471,3.3630301381828454
Virgil van Dijk,82.84423101268695,1.6906906145604512
Trent Alexander-Arnold,85.43065663927527,2.667402849584253
Sadio Mané,87.65663856693085,3.5080006851968406
Joël Matip,83.03468884744228,1.762613230679537
Mohamed Salah,90.13389431734151,4.443487086134161
Jordan Henderson,82.3135305442557,1.4902821298465905
Andrew Robertson,84.3933563134978,2.2756869969550655
Diogo Jota,85.1923430199938,2.577408447529071
Fabinho,81.11434495741202,1.0374335256980938
Thiago Alcántara,84.88515742091548,2.4614059110715747
Naby Keïta,80.21147756018797,0.696483596804902
Ibrahima Konaté,77.32976317045411,-0.39173857102517423
Luis Díaz,85.32550294133473,2.627693645391131
Roberto Firmino,85.44965402453587,2.6745768345721643
Curtis Jones,78.36712365667543,0.0
Kostas Tsimikas,78.36712365667543,0.0
James Milner,78.36712365667543,0.0
Alex Oxlade-Chamberlain,78.36712365667543,0.0
Harvey Elliott,78.36712365667543,0.0
Joe Gomez,78.36712365667543,0.0
Caoimhín Kelleher,78.36712365667543,0.0
Takumi Minamino,78.36712365667543,0.0
Tyler Morton,78.36712365667543,0.0
Divock Origi,78.36712365667543,0.0
Kaide Gordon,78.36712365667543,0.0
Neco Williams,78.36712365667543,0.0
Adrián,78.36712365667543,0.0
Owen Beck,78.36712365667543,0.0
Conor Bradley,78.36712365667543,0.0
Nathaniel Phillips,78.36712365667543,0.0
Marcelo Pitaluga,78.36712365667543,0.0
Jarrell Quansah,78.36712365667543,0.0
Rhys Williams,78.36712365667543,0.0
Ben Woodburn,78.36712365667543,0.0
Edouard Mendy,83.67536682849854,2.00455253733318
Antonio Rüdiger,83.46656822197302,1.9257038932612447
Thiago Silva,81.64225009725453,1.2367864101250337
Mason Mount,84.44487407941735,2.295141657385832
Jorginho,82.74600915558581,1.6535990822962954
Marcos Alonso,80.98855217886904,0.9899303828984198
César Azpilicueta,81.5653304590043,1.2077392374476945
Reece James,87.35088217404406,3.3925378600534026
Kai Havertz,83.62307670649919,1.9848062119787493
N'Golo Kanté,83.1649971981372,1.811821589559503
Andreas Christensen,79.46901716663983,0.4161081849065872
Trevoh Chalobah,82.97615375172776,1.7405086151147457
Romelu Lukaku,78.33122658939861,-0.013555814035523433
Mateo Kovačić,82.71696057232587,1.6426294621423567
Timo Werner,79.1190581037132,0.2839530999104746
Hakim Ziyech,81.26837410743957,1.0955995730167143
Ruben Loftus-Cheek,81.11952504014717,1.03938968099359
Christian Pulisic,77.67012951099592,-0.26320598699105635
Callum Hudson-Odoi,78.61687699407696,0.09431438424922792
Malang Sarr,78.36712365667543,0.0
Ben Chilwell,78.36712365667543,0.0
Saúl Ñíguez,78.36712365667543,0.0
Kepa Arrizabalaga,78.36712365667543,0.0
Ross Barkley,78.36712365667543,0.0
Kenedy,78.36712365667543,0.0
Emerson Palmieri,78.36712365667543,0.0
Tammy Abraham,78.36712365667543,0.0
Marcus Bettinelli,78.36712365667543,0.0
Lewis Hall,78.36712365667543,0.0
Harvey Vale,78.36712365667543,0.0
Kurt Zouma,77.47294066861909,-0.3376704343657448
Hugo Lloris,84.19555042278198,2.20098953353843
Harry Kane,86.78121889481031,3.1774158441904095
Pierre Højbjerg,83.2307232630879,1.836641731742362
Eric Dier,81.90873414591971,1.3374188149753063
Son Heung-min,86.69344731695496,3.1442706521936286
Ben Davies,78.7615497236947,0.1489471653504286
Emerson,78.7732477406093,0.1533646889507819
Sergio Reguilón,79.78023293517417,0.5336326347631949
Cristian Romero,79.87215949532495,0.568346873247351
Lucas Moura,78.4811339232967,0.043053711339150244
Davinson Sánchez,80.17862539290503,0.6840776287374495
Rodrigo Bentancur,83.9205270352123,2.097132417062469
Oliver Skipp,78.01401516713884,-0.13334440336337625
Dejan Kulusevski,83.59504236559448,1.974219600293117
Ryan Sessegnon,78.27999772305424,-0.032901377283344344
Japhet Tanganga,78.36712365667543,0.0
Harry Winks,78.74421528283011,0.1424011582641657
Matt Doherty,78.36712365667543,0.0
