Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Wilfred Ndidi,2022,Leicester City,Premier League,1618,77.33410216,-0.372000208,NGA,"MF,DF",24,85,https://fbref.com/en/players/6b47c5db/Wilfred-Ndidi
Ademola Lookman,2022,Leicester City,Premier League,1453,80.75971384,0.913102417,NGA,"FW,MF",23,77,https://fbref.com/en/players/7c104bb7/Ademola-Lookman
Jonny Evans,2022,Leicester City,Premier League,1348,79.4676581,0.428393588,NIR,DF,33,80,https://fbref.com/en/players/f8fcd2a5/Jonny-Evans
Kelechi Iheanacho,2022,Leicester City,Premier League,1264,77.45344335,-0.327229905,NGA,FW,24,78,https://fbref.com/en/players/c92e1a31/Kelechi-Iheanacho
Patson Daka,2022,Leicester City,Premier League,1159,77.59767494,-0.27312208,ZAM,FW,22,77,https://fbref.com/en/players/ca45605e/Patson-Daka
Ricardo Pereira,2022,Leicester City,Premier League,991,80.57187304,0.842634796,POR,DF,27,84,https://fbref.com/en/players/75a72a99/Ricardo-Pereira
Boubakary Soumaré,2022,Leicester City,Premier League,1102,74.12033409,-1.577630669,FRA,MF,22,78,https://fbref.com/en/players/ae59b359/Boubakary-Soumare
Nampalys Mendy,2022,Leicester City,Premier League,1032,80.31599142,0.746641973,SEN,MF,29,75,https://fbref.com/en/players/1598599e/Nampalys-Mendy
Marc Albrighton,2022,Leicester City,Premier League,1132,72.65074324,-2.128940987,ENG,"FW,DF",31,76,https://fbref.com/en/players/b827d5b3/Marc-Albrighton
James Justin,2022,Leicester City,Premier League,998,78.09498578,-0.086558184,ENG,DF,23,77,https://fbref.com/en/players/fb614c44/James-Justin
Wesley Fofana,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Jannik Vestergaard,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Ayoze Pérez,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Ryan Bertrand,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Hamza Choudhury,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Danny Ward,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Lewis Brunt,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,55,NA
Kasey McAteer,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,60,NA
Vontae Daley Campbell,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Eldin Jakupović,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Benjamin Nelson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Dennis Praet,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Robert Sánchez,2022,Brighton,Premier League,3329,79.22981761,0.339168813,ESP,GK,23,76,https://fbref.com/en/players/6a713852/Robert-Sanchez
Marc Cucurella,2022,Brighton,Premier League,3089,79.6441,0.494584965,ESP,DF,23,81,https://fbref.com/en/players/1daec722/Marc-Cucurella
Joël Veltman,2022,Brighton,Premier League,2874,77.84621322,-0.179884076,NED,DF,29,77,https://fbref.com/en/players/dad4b285/Joel-Veltman
Leandro Trossard,2022,Brighton,Premier League,2805,80.2920996,0.737679065,BEL,"FW,MF",26,77,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
