Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Rico Henry,2022,Brentford,Premier League,2776,75.90382568,-0.908561919,ENG,DF,24,74,https://fbref.com/en/players/8a3c1dc7/Rico-Henry
Ivan Toney,2022,Brentford,Premier League,2909,78.95403897,0.235711711,ENG,FW,25,76,https://fbref.com/en/players/e09f279b/Ivan-Toney
Ethan Pinnock,2022,Brentford,Premier League,2694,76.22545806,-0.787902994,JAM,DF,28,74,https://fbref.com/en/players/e541326e/Ethan-Pinnock
Vitaly Janelt,2022,Brentford,Premier League,2298,76.35473659,-0.739404744,GER,MF,23,73,https://fbref.com/en/players/8449d35e/Vitaly-Janelt
Sergi Canós,2022,Brentford,Premier League,2083,74.87799445,-1.293397833,ESP,DF,24,72,https://fbref.com/en/players/1137759d/Sergi-Canos
David Raya,2022,Brentford,Premier League,2160,82.19638065,1.452061432,ESP,GK,25,74,https://fbref.com/en/players/98ea5115/David-Raya
Kristoffer Ajer,2022,Brentford,Premier League,1995,75.50024926,-1.059961774,NOR,DF,23,75,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer
Mathias Jensen,2022,Brentford,Premier League,1601,75.7227968,-0.97647408,DEN,MF,25,74,https://fbref.com/en/players/0f134faf/Mathias-Jensen
Yoane Wissa,2022,Brentford,Premier League,1284,73.84459434,-1.68107318,COD,"FW,MF",24,75,https://fbref.com/en/players/2500cef9/Yoane-Wissa
Mads Roerslev,2022,Brentford,Premier League,1240,72.14783404,-2.317605082,DEN,DF,22,67,https://fbref.com/en/players/57c94db2/Mads-Roerslev
Frank Onyeka,2022,Brentford,Premier League,1045,73.55920686,-1.788134996,NGA,MF,23,75,https://fbref.com/en/players/2944f86f/Frank-Onyeka
Christian Eriksen,2022,Brentford,Premier League,939,81.36573647,1.14044905,DEN,MF,29,82,https://fbref.com/en/players/980522ec/Christian-Eriksen
Shandon Baptiste,2022,Brentford,Premier League,910,70.38732103,-2.978053525,GRN,MF,23,66,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste
Mads Bech Sørensen,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,68,NA
Mathias Jørgensen,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,72,NA
Saman Ghoddos,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,70,NA
Charlie Goode,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,67,NA
Josh Dasilva,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Jonas Lössl,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,72,NA
Dominic Thompson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Marcus Forss,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,68,NA
Mads Bidstrup,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,64,NA
Tariqe Fosu,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,71,NA
Finley Stevens,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,59,NA
Nathan Young-Coombes,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,57,NA
Matthew Cox,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Halil Dervişoğlu,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Patrik Gunnarsson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Maxwell Haygarth,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Julian Jeanvier,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Edmond-Paris Maghoma,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Myles Peart-Harris,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Matty Cash,2022,Aston Villa,Premier League,3377,77.96975656,-0.133537353,POL,DF,23,78,https://fbref.com/en/players/2389cdc2/Matty-Cash
Emiliano Martínez,2022,Aston Villa,Premier League,3240,81.7805007,1.296045962,ARG,GK,28,84,https://fbref.com/en/players/7956236f/Emiliano-Martinez
Tyrone Mings,2022,Aston Villa,Premier League,3189,77.27617825,-0.3937301,ENG,DF,28,78,https://fbref.com/en/players/8397a50c/Tyrone-Mings
John McGinn,2022,Aston Villa,Premier League,3090,79.58754962,0.473370346,SCO,MF,26,78,https://fbref.com/en/players/90f91999/John-McGinn
Ollie Watkins,2022,Aston Villa,Premier League,2952,79.33734516,0.379507282,ENG,FW,25,78,https://fbref.com/en/players/aed3a70f/Ollie-Watkins
Douglas Luiz,2022,Aston Villa,Premier League,2715,78.8655975,0.202533294,BRA,MF,23,77,https://fbref.com/en/players/6f7d826d/Douglas-Luiz
Ezri Konsa,2022,Aston Villa,Premier League,2477,76.90385882,-0.533404038,ENG,DF,23,78,https://fbref.com/en/players/0313a347/Ezri-Konsa
Jacob Ramsey,2022,Aston Villa,Premier League,2467,76.93258212,-0.522628624,ENG,MF,20,68,https://fbref.com/en/players/1544f145/Jacob-Ramsey
Emi Buendía,2022,Aston Villa,Premier League,1899,80.71528231,0.896434132,ARG,"FW,MF",24,79,https://fbref.com/en/players/66b76d44/Emi-Buendia
Danny Ings,2022,Aston Villa,Premier League,1898,76.95028374,-0.515987942,ENG,FW,29,81,https://fbref.com/en/players/07802f7f/Danny-Ings
Philippe Coutinho,2022,Aston Villa,Premier League,1329,80.6614534,0.876240461,BRA,"MF,FW",29,82,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho
Lucas Digne,2022,Aston Villa,Premier League,1269,78.06694376,-0.097078019,FRA,DF,28,84,https://fbref.com/en/players/1b84dbe1/Lucas-Digne
Lucas Digne,2022,Everton,Premier League,1170,74.58028409,-1.405082521,FRA,DF,28,84,https://fbref.com/en/players/1b84dbe1/Lucas-Digne
Ashley Young,2022,Aston Villa,Premier League,1250,72.19038261,-2.30164318,ENG,"DF,FW",36,78,https://fbref.com/en/players/be927d03/Ashley-Young
Marvelous Nakamba,2022,Aston Villa,Premier League,904,72.73689669,-2.096620914,ZIM,MF,27,75,https://fbref.com/en/players/de5b5570/Marvelous-Nakamba
Leon Bailey,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,82,NA
Axel Tuanzebe,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Kortney Hause,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Anwar El Ghazi,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Morgan Sanson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Carney Chukwuemeka,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Bertrand Traoré,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Tim Iroegbunam,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,56,NA
Robin Olsen,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Jed Steer,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,72,NA
Cameron Archer,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,58,NA
Keinan Davis,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,69,NA
Trézéguet,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Jaden Philogene Bidace,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,60,NA
Wesley Moraes,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Lamare Bogarde,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Benjamin Chrisene,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Josh Feeney,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Frederic Guilbert,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Conor Hourihane,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Kaine Kessler,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Filip Marshall,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Tommi O'Reilly,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Aaron Ramsey,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Viljami Sinisalo,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
James Ward-Prowse,2022,Southampton,Premier League,3215,80.49759861,0.814771082,ENG,MF,26,81,https://fbref.com/en/players/3515d404/James-Ward-Prowse
Oriol Romeu,2022,Southampton,Premier League,2889,79.11250102,0.295158028,ESP,MF,29,78,https://fbref.com/en/players/4b511457/Oriol-Romeu
Mohammed Salisu,2022,Southampton,Premier League,2972,77.46479446,-0.322971587,GHA,DF,22,76,https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu
Jan Bednarek,2022,Southampton,Premier League,2629,78.60974097,0.106549885,POL,DF,25,76,https://fbref.com/en/players/4115ce4e/Jan-Bednarek
Kyle Walker-Peters,2022,Southampton,Premier League,2633,77.88739652,-0.164434349,ENG,DF,24,77,https://fbref.com/en/players/984a5a64/Kyle-Walker-Peters
Valentino Livramento,2022,Southampton,Premier League,2202,75.95612295,-0.888942837,ENG,DF,18,62,https://fbref.com/en/players/afed6722/Valentino-Livramento
Mohamed Elyounoussi,2022,Southampton,Premier League,2042,77.4799348,-0.317291756,NOR,"MF,FW",26,75,https://fbref.com/en/players/68dc0dac/Mohamed-Elyounoussi
Che Adams,2022,Southampton,Premier League,2039,77.74368007,-0.218348921,SCO,FW,25,76,https://fbref.com/en/players/f2bf1b0f/Che-Adams
Armando Broja,2022,Southampton,Premier League,1975,74.41206434,-1.468189394,ALB,FW,19,70,https://fbref.com/en/players/97220da2/Armando-Broja
Nathan Redmond,2022,Southampton,Premier League,1833,76.09903628,-0.835329553,ENG,"MF,FW",27,76,https://fbref.com/en/players/ab651565/Nathan-Redmond
Fraser Forster,2022,Southampton,Premier League,1710,77.9254818,-0.150146828,ENG,GK,33,75,https://fbref.com/en/players/c3e39f12/Fraser-Forster
Romain Perraud,2022,Southampton,Premier League,1623,73.16746111,-1.935096629,FRA,DF,23,77,https://fbref.com/en/players/6dfd8f05/Romain-Perraud
Alex McCarthy,2022,Southampton,Premier League,1530,76.18266753,-0.803955668,ENG,GK,31,75,https://fbref.com/en/players/36c2ca73/Alex-McCarthy
Adam Armstrong,2022,Southampton,Premier League,1413,75.44868999,-1.079303999,ENG,FW,24,76,https://fbref.com/en/players/68c720b5/Adam-Armstrong
Stuart Armstrong,2022,Southampton,Premier League,1473,75.3741676,-1.107260735,SCO,MF,29,77,https://fbref.com/en/players/97333cf5/Stuart-Armstrong
Ibrahima Diallo,2022,Southampton,Premier League,1023,72.74518798,-2.093510473,FRA,MF,22,73,https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo
Nathan Tella,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
Lyanco,2022,Southampton,Premier League,911,73.97208966,-1.633243892,BRA,DF,24,72,https://fbref.com/en/players/b5bf1770/Lyanco
Jack Stephens,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Moussa Djenepo,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Theo Walcott,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Yan Valery,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,71,NA
Shane Long,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,72,NA
Willy Caballero,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
William Smallbone,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
Kgagelo Chauke,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Tyler Dibling,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Harry Lewis,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Dynel Simeu,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Thierry Small,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Jordan Pickford,2022,Everton,Premier League,3150,80.26363001,0.726998826,ENG,GK,27,83,https://fbref.com/en/players/4806ec67/Jordan-Pickford
Michael Keane,2022,Everton,Premier League,2792,76.42446691,-0.713245732,ENG,DF,28,80,https://fbref.com/en/players/c5b7c315/Michael-Keane
Séamus Coleman,2022,Everton,Premier League,2656,76.42911674,-0.71150137,IRL,DF,32,78,https://fbref.com/en/players/0420d84f/Seamus-Coleman
Abdoulaye Doucouré,2022,Everton,Premier League,2537,77.30706009,-0.382144917,MLI,MF,28,79,https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure
Richarlison,2022,Everton,Premier League,2523,77.87391539,-0.169491735,BRA,"FW,MF",24,82,https://fbref.com/en/players/fa031b34/Richarlison
Demarai Gray,2022,Everton,Premier League,2338,77.33977884,-0.369870627,ENG,"MF,FW",25,75,https://fbref.com/en/players/4468ec10/Demarai-Gray
Anthony Gordon,2022,Everton,Premier League,2285,74.89922628,-1.285432812,ENG,"MF,FW",20,67,https://fbref.com/en/players/2bd83368/Anthony-Gordon
Allan,2022,Everton,Premier League,2183,75.63613044,-1.008986569,BRA,MF,30,83,https://fbref.com/en/players/cc700722/Allan
Mason Holgate,2022,Everton,Premier League,2134,74.65253059,-1.377979575,ENG,DF,24,77,https://fbref.com/en/players/d0042ab9/Mason-Holgate
Ben Godfrey,2022,Everton,Premier League,2029,74.55641216,-1.414037966,ENG,DF,23,77,https://fbref.com/en/players/9f7c837d/Ben-Godfrey
Alex Iwobi,2022,Everton,Premier League,2035,75.26924298,-1.14662273,NGA,"MF,DF",25,77,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi
Andros Townsend,2022,Everton,Premier League,1455,74.89469572,-1.287132431,ENG,MF,30,77,https://fbref.com/en/players/b28bbd58/Andros-Townsend
Dominic Calvert-Lewin,2022,Everton,Premier League,1283,74.18354228,-1.553918405,ENG,FW,24,81,https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin
Vitaliy Mykolenko,2022,Everton,Premier League,1055,74.0583265,-1.600892536,UKR,DF,22,76,https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko
Jonjoe Kenny,2022,Everton,Premier League,1018,72.58387309,-2.154027018,ENG,DF,24,74,https://fbref.com/en/players/099e666f/Jonjoe-Kenny
Yerry Mina,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,79,NA
Salomón Rondón,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Fabian Delph,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
André Gomes,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Jarrad Branthwaite,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
Asmir Begović,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Tom Davies,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Jean-Philippe Gbamin,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Ellis Simms,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,65,NA
Lewis Dobbin,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,57,NA
Tyler Onyango,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,60,NA
Isaac Price,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,60,NA
Cenk Tosun,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Moise Kean,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,79,NA
Nathan Broadhead,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Andy Lonergan,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Niels Nkounkou,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Nathan Patterson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Harry Tyrer,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Reece Welch,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Charlie Whitaker,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Illan Meslier,2022,Leeds United,Premier League,3384,78.40603181,0.030129318,FRA,GK,21,77,https://fbref.com/en/players/6b625ac2/Illan-Meslier
Stuart Dallas,2022,Leeds United,Premier League,2919,78.34433804,0.006985183,NIR,"DF,MF",30,75,https://fbref.com/en/players/67ca8566/Stuart-Dallas
Raphael Dias Belloli,2022,Leeds United,Premier League,2915,81.07421675,1.031086751,BRA,"FW,MF",24,82,https://fbref.com/en/players/3423f250/Raphael-Dias-Belloli
Jack Harrison,2022,Leeds United,Premier League,2639,76.32703357,-0.749797404,ENG,"FW,MF",24,78,https://fbref.com/en/players/aa849a12/Jack-Harrison
Diego Llorente,2022,Leeds United,Premier League,2340,76.71294162,-0.605025756,ESP,DF,27,77,https://fbref.com/en/players/bba30585/Diego-Llorente
Rodrigo,2022,Leeds United,Premier League,2265,78.65655295,0.124111185,ESP,"MF,FW",30,79,https://fbref.com/en/players/1fb1c435/Rodrigo
Luke Ayling,2022,Leeds United,Premier League,2272,77.63096032,-0.260635222,ENG,DF,29,76,https://fbref.com/en/players/420d7c7d/Luke-Ayling
Mateusz Klich,2022,Leeds United,Premier League,2073,76.45861784,-0.700434165,POL,MF,31,75,https://fbref.com/en/players/282679b4/Mateusz-Klich
Pascal Struijk,2022,Leeds United,Premier League,2055,76.90930613,-0.531360505,NED,DF,21,74,https://fbref.com/en/players/f4d296e4/Pascal-Struijk
Liam Cooper,2022,Leeds United,Premier League,1814,75.2894064,-1.139058514,SCO,DF,29,75,https://fbref.com/en/players/dc64b8b3/Liam-Cooper
Junior Firpo,2022,Leeds United,Premier League,1711,78.38779025,0.023286082,ESP,DF,24,78,https://fbref.com/en/players/24f59bb2/Junior-Firpo
Kalvin Phillips,2022,Leeds United,Premier League,1596,77.46194466,-0.324040676,ENG,MF,25,81,https://fbref.com/en/players/4f565d77/Kalvin-Phillips
Robin Koch,2022,Leeds United,Premier League,1574,74.00473198,-1.620998273,GER,"MF,DF",25,77,https://fbref.com/en/players/ea6bc03a/Robin-Koch
Adam Forshaw,2022,Leeds United,Premier League,1530,75.36932512,-1.109077371,ENG,MF,29,71,https://fbref.com/en/players/9f1938ab/Adam-Forshaw
Tyler Roberts,2022,Leeds United,Premier League,987,73.27525005,-1.894660098,WAL,"MF,FW",22,73,https://fbref.com/en/players/6c17e046/Tyler-Roberts
Jamie Shackleton,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,69,NA
Patrick Bamford,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Joe Gelhardt,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
Sam Greenwood,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,65,NA
Lewis Bate,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Charlie Cresswell,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Cody Drameh,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Leo Fuhr Hjelde,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,60,NA
Crysencio Summerville,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,68,NA
Kristoffer Klaesson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,64,NA
Hélder Costa,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Liam McCarron,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,59,NA
Stuart McKinstry,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,61,NA
Nohan Kenneh,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Archie Gray,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Jack Jenkins,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Kris Moore,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Nick Pope,2022,Burnley,Premier League,3240,81.69042425,1.262254192,ENG,GK,29,83,https://fbref.com/en/players/4b40d9ca/Nick-Pope
Dwight McNeil,2022,Burnley,Premier League,3107,77.02679969,-0.487283333,ENG,MF,21,77,https://fbref.com/en/players/fc15fb84/Dwight-McNeil
James Tarkowski,2022,Burnley,Premier League,3106,75.76634551,-0.960136979,ENG,DF,28,81,https://fbref.com/en/players/15ea812b/James-Tarkowski
Josh Brownhill,2022,Burnley,Premier League,2955,76.21668698,-0.791193426,ENG,MF,25,76,https://fbref.com/en/players/47369df8/Josh-Brownhill
Charlie Taylor,2022,Burnley,Premier League,2731,76.73902718,-0.595239878,ENG,DF,27,76,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor
Ashley Westwood,2022,Burnley,Premier League,2287,75.75233289,-0.965393748,ENG,MF,31,78,https://fbref.com/en/players/495945ef/Ashley-Westwood
Ben Mee,2022,Burnley,Premier League,1839,75.79144294,-0.950721791,ENG,DF,31,79,https://fbref.com/en/players/8df7a2fb/Ben-Mee
Maxwel Cornet,2022,Burnley,Premier League,1766,77.11985136,-0.452375421,CIV,"FW,MF",24,75,https://fbref.com/en/players/beb391dd/Maxwel-Cornet
Matthew Lowton,2022,Burnley,Premier League,1772,73.79393537,-1.700077664,ENG,DF,32,76,https://fbref.com/en/players/9a9c05db/Matthew-Lowton
Jack Cork,2022,Burnley,Premier League,1670,73.87999426,-1.667793064,ENG,MF,32,76,https://fbref.com/en/players/74e12f1e/Jack-Cork
Connor Roberts,2022,Burnley,Premier League,1692,73.97271098,-1.633010807,WAL,DF,25,75,https://fbref.com/en/players/24fae784/Connor-Roberts
Nathan Collins,2022,Burnley,Premier League,1670,75.64386758,-1.006084018,IRL,DF,20,71,https://fbref.com/en/players/a8c19eb8/Nathan-Collins
Aaron Lennon,2022,Burnley,Premier League,1551,71.67621168,-2.494532063,ENG,MF,34,73,https://fbref.com/en/players/2ff964a0/Aaron-Lennon
Wout Weghorst,2022,Burnley,Premier League,1450,75.68618605,-0.990208435,NED,FW,28,83,https://fbref.com/en/players/c4e87b8b/Wout-Weghorst
Jay Rodriguez,2022,Burnley,Premier League,1382,73.72853613,-1.72461189,ENG,FW,32,74,https://fbref.com/en/players/4ab53cdb/Jay-Rodriguez
Jóhann Berg Guðmundsson,2022,Burnley,Premier League,1102,72.45273082,-2.203224445,ISL,MF,30,75,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson
Ashley Barnes,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Erik Pieters,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Matěj Vydra,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Kevin Long,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,71,NA
Wayne Hennessey,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Dale Stephens,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Phil Bardsley,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Dara Costelloe,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Owen Dodgson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Anthony Gomez Mancini,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Joseph McGlynn,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Will Norris,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Lewis Richardson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Bobby Thomas,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Sam Waller,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Emmanuel Dennis,2022,Watford,Premier League,2581,79.06851529,0.278656982,NGA,"FW,MF",23,74,https://fbref.com/en/players/2c44a35d/Emmanuel-Dennis
Craig Cathcart,2022,Watford,Premier League,2396,75.20813076,-1.1695487,NIR,DF,32,72,https://fbref.com/en/players/89e4b358/Craig-Cathcart
Joshua King,2022,Watford,Premier League,2248,76.5883436,-0.651768136,NOR,FW,29,75,https://fbref.com/en/players/43458538/Joshua-King
Ben Foster,2022,Watford,Premier League,2340,78.02349489,-0.113377663,ENG,GK,38,78,https://fbref.com/en/players/d0b3ceb9/Ben-Foster
Kiko Femenía,2022,Watford,Premier League,2142,75.93471822,-0.896972722,ESP,DF,30,75,https://fbref.com/en/players/e5d01ecf/Kiko-Femenia
Juraj Kucka,2022,Watford,Premier League,1920,75.78406251,-0.953490527,SVK,MF,34,77,https://fbref.com/en/players/5aaef9ef/Juraj-Kucka
Ismaila Sarr,2022,Watford,Premier League,1861,75.59723155,-1.023579312,SEN,"FW,MF",23,78,https://fbref.com/en/players/bfdb33aa/Ismaila-Sarr
Tom Cleverley,2022,Watford,Premier League,1616,73.63334094,-1.760323932,ENG,MF,31,74,https://fbref.com/en/players/6cdd8245/Tom-Cleverley
Samir Santos,2022,Watford,Premier League,1673,75.61042838,-1.018628582,BRA,DF,26,73,https://fbref.com/en/players/92b4758e/Samir-Santos
Hassane Kamara,2022,Watford,Premier League,1623,73.67262522,-1.745586615,CIV,DF,27,77,https://fbref.com/en/players/19a12bed/Hassane-Kamara
Imran Louza,2022,Watford,Premier League,1416,74.94410677,-1.268596097,MAR,MF,22,75,https://fbref.com/en/players/e1df6989/Imran-Louza
João Pedro,2022,Watford,Premier League,1644,76.27179501,-0.770519899,BRA,"FW,MF",19,71,https://fbref.com/en/players/e8832875/Joao-Pedro
William Troost-Ekong,2022,Watford,Premier League,1390,74.10927481,-1.581779509,NGA,DF,27,73,https://fbref.com/en/players/7ed4921e/William-Troost-Ekong
Adam Masina,2022,Watford,Premier League,1077,73.29166325,-1.888502764,MAR,DF,27,74,https://fbref.com/en/players/de0f152c/Adam-Masina
Christian Kabasele,2022,Watford,Premier League,1193,74.45992814,-1.450233509,BEL,DF,30,75,https://fbref.com/en/players/914ab9a1/Christian-Kabasele
Daniel Bachmann,2022,Watford,Premier League,1080,78.46265511,0.051371291,AUT,GK,27,70,https://fbref.com/en/players/1c0eea98/Daniel-Bachmann
Cucho,2022,Watford,Premier League,1147,72.11469686,-2.330036344,COL,"FW,MF",22,75,https://fbref.com/en/players/71b47ab9/Cucho
Jeremy Ngakia,2022,Watford,Premier League,903,69.6400543,-3.258387237,ENG,DF,20,69,https://fbref.com/en/players/3631ad41/Jeremy-Ngakia
Edo Kayembe,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,69,NA
Ken Sema,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Danny Rose,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
