Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,overall,UrlFBref
2022,Brighton,Premier League,Lewis Dunk,ENG,DF,29,78,https://fbref.com/en/players/282f75f3/Lewis-Dunk
2022,Brighton,Premier League,Neal Maupay,FRA,FW,24,77,https://fbref.com/en/players/4bcf39f6/Neal-Maupay
2022,Brighton,Premier League,Leandro Trossard,BEL,"FW,MF",26,77,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
2022,Brighton,Premier League,Joël Veltman,NED,DF,29,77,https://fbref.com/en/players/dad4b285/Joel-Veltman
2022,Brighton,Premier League,Pascal Groß,GER,"MF,DF",30,76,https://fbref.com/en/players/8aec0537/Pascal-Gross
2022,Brighton,Premier League,Robert Sánchez,ESP,GK,23,76,https://fbref.com/en/players/6a713852/Robert-Sanchez
2022,Brighton,Premier League,Dan Burn,ENG,DF,29,75,https://fbref.com/en/players/b2d31e83/Dan-Burn
2022,Brighton,Premier League,Adam Lallana,ENG,MF,33,75,https://fbref.com/en/players/99813635/Adam-Lallana
2022,Brighton,Premier League,Alexis Mac Allister,ARG,"MF,FW",22,75,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
2022,Brighton,Premier League,Solly March,ENG,"DF,FW",27,75,https://fbref.com/en/players/bb5fbd2b/Solly-March
2022,Brighton,Premier League,Enock Mwepu,ZAM,"MF,FW",23,75,https://fbref.com/en/players/1d5cab82/Enock-Mwepu
2022,Brighton,Premier League,Adam Webster,ENG,DF,26,75,https://fbref.com/en/players/c40b6180/Adam-Webster
2022,Brighton,Premier League,Tariq Lamptey,ENG,"DF,FW",20,74,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey
2022,Brighton,Premier League,Danny Welbeck,ENG,FW,30,73,https://fbref.com/en/players/ce5143da/Danny-Welbeck
2022,Brighton,Premier League,Shane Duffy,IRL,DF,29,72,https://fbref.com/en/players/7314bba4/Shane-Duffy
2022,Brighton,Premier League,Jakub Moder,POL,"MF,FW",22,70,https://fbref.com/en/players/f230bc30/Jakub-Moder
2022,Burnley,Premier League,Nick Pope,ENG,GK,29,83,https://fbref.com/en/players/4b40d9ca/Nick-Pope
2022,Burnley,Premier League,Wout Weghorst,NED,FW,28,83,https://fbref.com/en/players/c4e87b8b/Wout-Weghorst
2022,Burnley,Premier League,James Tarkowski,ENG,DF,28,81,https://fbref.com/en/players/15ea812b/James-Tarkowski
2022,Burnley,Premier League,Ben Mee,ENG,DF,31,79,https://fbref.com/en/players/8df7a2fb/Ben-Mee
2022,Burnley,Premier League,Chris Wood,NZL,FW,29,79,https://fbref.com/en/players/4e9a0555/Chris-Wood
2022,Burnley,Premier League,Ashley Westwood,ENG,MF,31,78,https://fbref.com/en/players/495945ef/Ashley-Westwood
2022,Burnley,Premier League,Dwight McNeil,ENG,MF,21,77,https://fbref.com/en/players/fc15fb84/Dwight-McNeil
2022,Burnley,Premier League,Josh Brownhill,ENG,MF,25,76,https://fbref.com/en/players/47369df8/Josh-Brownhill
2022,Burnley,Premier League,Jack Cork,ENG,MF,32,76,https://fbref.com/en/players/74e12f1e/Jack-Cork
2022,Burnley,Premier League,Matthew Lowton,ENG,DF,32,76,https://fbref.com/en/players/9a9c05db/Matthew-Lowton
2022,Burnley,Premier League,Charlie Taylor,ENG,DF,27,76,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor
2022,Burnley,Premier League,Jóhann Berg Guðmundsson,ISL,MF,30,75,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson
2022,Burnley,Premier League,Maxwel Cornet,CIV,"FW,MF",24,75,https://fbref.com/en/players/beb391dd/Maxwel-Cornet
2022,Burnley,Premier League,Connor Roberts,WAL,DF,25,75,https://fbref.com/en/players/24fae784/Connor-Roberts
2022,Burnley,Premier League,Jay Rodriguez,ENG,FW,32,74,https://fbref.com/en/players/4ab53cdb/Jay-Rodriguez
2022,Burnley,Premier League,Aaron Lennon,ENG,MF,34,73,https://fbref.com/en/players/2ff964a0/Aaron-Lennon
2022,Burnley,Premier League,Nathan Collins,IRL,DF,20,71,https://fbref.com/en/players/a8c19eb8/Nathan-Collins
2022,Chelsea,Premier League,N'Golo Kanté,FRA,MF,30,90,https://fbref.com/en/players/b9fbae28/NGolo-Kante
2022,Chelsea,Premier League,Romelu Lukaku,BEL,FW,28,88,https://fbref.com/en/players/5eae500a/Romelu-Lukaku
2022,Chelsea,Premier League,Jorginho,ITA,MF,29,85,https://fbref.com/en/players/45db685d/Jorginho
2022,Chelsea,Premier League,Thiago Silva,BRA,DF,36,85,https://fbref.com/en/players/86e7deaf/Thiago-Silva
2022,Chelsea,Premier League,Kai Havertz,GER,"FW,MF",22,84,https://fbref.com/en/players/fed7cb61/Kai-Havertz
2022,Chelsea,Premier League,Timo Werner,GER,"FW,MF",25,84,https://fbref.com/en/players/49fe9070/Timo-Werner
2022,Chelsea,Premier League,Hakim Ziyech,MAR,"FW,MF",28,84,https://fbref.com/en/players/6622454d/Hakim-Ziyech
2022,Chelsea,Premier League,César Azpilicueta,ESP,DF,31,83,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
2022,Chelsea,Premier League,Mateo Kovačić,CRO,MF,27,83,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
2022,Chelsea,Premier League,Edouard Mendy,SEN,GK,29,83,https://fbref.com/en/players/33887998/Edouard-Mendy
2022,Chelsea,Premier League,Mason Mount,ENG,"MF,FW",22,83,https://fbref.com/en/players/9674002f/Mason-Mount
2022,Chelsea,Premier League,Antonio Rüdiger,GER,DF,28,83,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
2022,Chelsea,Premier League,Christian Pulisic,USA,"MF,FW",22,82,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2022,Chelsea,Premier League,Reece James,ENG,DF,21,81,https://fbref.com/en/players/1265a93a/Reece-James
2022,Chelsea,Premier League,Reece James,ENG,DF,21,81,https://fbref.com/en/players/1265a93a/Reece-James
2022,Chelsea,Premier League,Andreas Christensen,DEN,DF,25,80,https://fbref.com/en/players/1cb49278/Andreas-Christensen
2022,Chelsea,Premier League,Marcos Alonso,ESP,DF,30,79,https://fbref.com/en/players/f4290206/Marcos-Alonso
2022,Chelsea,Premier League,Callum Hudson-Odoi,ENG,"FW,MF",20,77,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi
2022,Chelsea,Premier League,Ruben Loftus-Cheek,ENG,"MF,DF",25,75,https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek
2022,Chelsea,Premier League,Trevoh Chalobah,ENG,DF,22,73,https://fbref.com/en/players/5515376c/Trevoh-Chalobah
2022,Crystal Palace,Premier League,Wilfried Zaha,CIV,FW,28,82,https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha
2022,Crystal Palace,Premier League,Vicente Guaita,ESP,GK,34,80,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita
2022,Crystal Palace,Premier League,Cheikhou Kouyaté,SEN,MF,31,78,https://fbref.com/en/players/8d3c902d/Cheikhou-Kouyate
2022,Crystal Palace,Premier League,Joachim Andersen,DEN,DF,25,77,https://fbref.com/en/players/e34fc66d/Joachim-Andersen
2022,Crystal Palace,Premier League,Will Hughes,ENG,MF,26,76,https://fbref.com/en/players/a0666d3e/Will-Hughes
2022,Crystal Palace,Premier League,Jordan Ayew,GHA,FW,29,75,https://fbref.com/en/players/da052c14/Jordan-Ayew
2022,Crystal Palace,Premier League,Christian Benteke,BEL,FW,30,75,https://fbref.com/en/players/ab070c55/Christian-Benteke
2022,Crystal Palace,Premier League,Nathaniel Clyne,ENG,DF,30,75,https://fbref.com/en/players/0442183b/Nathaniel-Clyne
2022,Crystal Palace,Premier League,Odsonne Édouard,FRA,FW,23,75,https://fbref.com/en/players/0562b7f1/Odsonne-Edouard
2022,Crystal Palace,Premier League,Jean-Philippe Mateta,FRA,FW,24,75,https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta
2022,Crystal Palace,Premier League,James McArthur,SCO,MF,33,75,https://fbref.com/en/players/cee31595/James-McArthur
2022,Crystal Palace,Premier League,Jeffrey Schlupp,GHA,"MF,FW",28,75,https://fbref.com/en/players/3312f911/Jeffrey-Schlupp
2022,Crystal Palace,Premier League,Conor Gallagher,ENG,MF,21,74,https://fbref.com/en/players/c2731c10/Conor-Gallagher
2022,Crystal Palace,Premier League,Joel Ward,ENG,DF,31,74,https://fbref.com/en/players/8a7ff278/Joel-Ward
2022,Crystal Palace,Premier League,Marc Guéhi,ENG,DF,21,73,https://fbref.com/en/players/d0706b27/Marc-Guehi
2022,Crystal Palace,Premier League,Michael Olise,FRA,"FW,MF",19,73,https://fbref.com/en/players/c4486bac/Michael-Olise
2022,Crystal Palace,Premier League,Tyrick Mitchell,ENG,DF,21,71,https://fbref.com/en/players/5cbd1eb0/Tyrick-Mitchell
2022,Everton,Premier League,Lucas Digne,FRA,DF,28,84,https://fbref.com/en/players/1b84dbe1/Lucas-Digne
2022,Everton,Premier League,Allan,BRA,MF,30,83,https://fbref.com/en/players/cc700722/Allan
2022,Everton,Premier League,Jordan Pickford,ENG,GK,27,83,https://fbref.com/en/players/4806ec67/Jordan-Pickford
2022,Everton,Premier League,Richarlison,BRA,"FW,MF",24,82,https://fbref.com/en/players/fa031b34/Richarlison
2022,Everton,Premier League,Dominic Calvert-Lewin,ENG,FW,24,81,https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin
2022,Everton,Premier League,Michael Keane,ENG,DF,28,80,https://fbref.com/en/players/c5b7c315/Michael-Keane
2022,Everton,Premier League,Abdoulaye Doucouré,MLI,MF,28,79,https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure
2022,Everton,Premier League,Séamus Coleman,IRL,DF,32,78,https://fbref.com/en/players/0420d84f/Seamus-Coleman
2022,Everton,Premier League,Ben Godfrey,ENG,DF,23,77,https://fbref.com/en/players/9f7c837d/Ben-Godfrey
2022,Everton,Premier League,Mason Holgate,ENG,DF,24,77,https://fbref.com/en/players/d0042ab9/Mason-Holgate
2022,Everton,Premier League,Alex Iwobi,NGA,"MF,DF",25,77,https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi
2022,Everton,Premier League,Andros Townsend,ENG,MF,30,77,https://fbref.com/en/players/b28bbd58/Andros-Townsend
2022,Everton,Premier League,Vitaliy Mykolenko,UKR,DF,22,76,https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko
2022,Everton,Premier League,Demarai Gray,ENG,"MF,FW",25,75,https://fbref.com/en/players/4468ec10/Demarai-Gray
2022,Everton,Premier League,Jonjoe Kenny,ENG,DF,24,74,https://fbref.com/en/players/099e666f/Jonjoe-Kenny
2022,Everton,Premier League,Anthony Gordon,ENG,"MF,FW",20,67,https://fbref.com/en/players/2bd83368/Anthony-Gordon
2022,Leeds United,Premier League,Raphael Dias Belloli,BRA,"FW,MF",24,82,https://fbref.com/en/players/3423f250/Raphael-Dias-Belloli
2022,Leeds United,Premier League,Kalvin Phillips,ENG,MF,25,81,https://fbref.com/en/players/4f565d77/Kalvin-Phillips
2022,Leeds United,Premier League,Rodrigo,ESP,"MF,FW",30,79,https://fbref.com/en/players/1fb1c435/Rodrigo
2022,Leeds United,Premier League,Junior Firpo,ESP,DF,24,78,https://fbref.com/en/players/24f59bb2/Junior-Firpo
2022,Leeds United,Premier League,Jack Harrison,ENG,"FW,MF",24,78,https://fbref.com/en/players/aa849a12/Jack-Harrison
2022,Leeds United,Premier League,Daniel James,WAL,"FW,MF",23,77,https://fbref.com/en/players/c931d9f9/Daniel-James
2022,Leeds United,Premier League,Robin Koch,GER,"MF,DF",25,77,https://fbref.com/en/players/ea6bc03a/Robin-Koch
2022,Leeds United,Premier League,Diego Llorente,ESP,DF,27,77,https://fbref.com/en/players/bba30585/Diego-Llorente
2022,Leeds United,Premier League,Illan Meslier,FRA,GK,21,77,https://fbref.com/en/players/6b625ac2/Illan-Meslier
2022,Leeds United,Premier League,Luke Ayling,ENG,DF,29,76,https://fbref.com/en/players/420d7c7d/Luke-Ayling
2022,Leeds United,Premier League,Liam Cooper,SCO,DF,29,75,https://fbref.com/en/players/dc64b8b3/Liam-Cooper
2022,Leeds United,Premier League,Stuart Dallas,NIR,"DF,MF",30,75,https://fbref.com/en/players/67ca8566/Stuart-Dallas
2022,Leeds United,Premier League,Mateusz Klich,POL,MF,31,75,https://fbref.com/en/players/282679b4/Mateusz-Klich
2022,Leeds United,Premier League,Pascal Struijk,NED,DF,21,74,https://fbref.com/en/players/f4d296e4/Pascal-Struijk
2022,Leeds United,Premier League,Tyler Roberts,WAL,"MF,FW",22,73,https://fbref.com/en/players/6c17e046/Tyler-Roberts
2022,Leeds United,Premier League,Adam Forshaw,ENG,MF,29,71,https://fbref.com/en/players/9f1938ab/Adam-Forshaw
2022,Leicester City,Premier League,Jamie Vardy,ENG,FW,34,86,https://fbref.com/en/players/45963054/Jamie-Vardy
2022,Leicester City,Premier League,Wilfred Ndidi,NGA,"MF,DF",24,85,https://fbref.com/en/players/6b47c5db/Wilfred-Ndidi
2022,Leicester City,Premier League,Kasper Schmeichel,DEN,GK,34,85,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel
2022,Leicester City,Premier League,Ricardo Pereira,POR,DF,27,84,https://fbref.com/en/players/75a72a99/Ricardo-Pereira
2022,Leicester City,Premier League,Youri Tielemans,BEL,MF,24,84,https://fbref.com/en/players/56f7a928/Youri-Tielemans
2022,Leicester City,Premier League,James Maddison,ENG,"MF,FW",24,82,https://fbref.com/en/players/ee38d9c5/James-Maddison
2022,Leicester City,Premier League,Harvey Barnes,ENG,"FW,MF",23,81,https://fbref.com/en/players/3ea50f67/Harvey-Barnes
2022,Leicester City,Premier League,Jonny Evans,NIR,DF,33,80,https://fbref.com/en/players/f8fcd2a5/Jonny-Evans
2022,Leicester City,Premier League,Çağlar Söyüncü,TUR,DF,25,80,https://fbref.com/en/players/21166ff4/Caglar-Soyuncu
2022,Leicester City,Premier League,Timothy Castagne,BEL,DF,25,79,https://fbref.com/en/players/197640fd/Timothy-Castagne
2022,Leicester City,Premier League,Kelechi Iheanacho,NGA,FW,24,78,https://fbref.com/en/players/c92e1a31/Kelechi-Iheanacho
2022,Leicester City,Premier League,Boubakary Soumaré,FRA,MF,22,78,https://fbref.com/en/players/ae59b359/Boubakary-Soumare
2022,Leicester City,Premier League,Patson Daka,ZAM,FW,22,77,https://fbref.com/en/players/ca45605e/Patson-Daka
2022,Leicester City,Premier League,James Justin,ENG,DF,23,77,https://fbref.com/en/players/fb614c44/James-Justin
2022,Leicester City,Premier League,Ademola Lookman,NGA,"FW,MF",23,77,https://fbref.com/en/players/7c104bb7/Ademola-Lookman
2022,Leicester City,Premier League,Marc Albrighton,ENG,"FW,DF",31,76,https://fbref.com/en/players/b827d5b3/Marc-Albrighton
2022,Leicester City,Premier League,Daniel Amartey,GHA,DF,26,76,https://fbref.com/en/players/1a4ef233/Daniel-Amartey
2022,Leicester City,Premier League,Nampalys Mendy,SEN,MF,29,75,https://fbref.com/en/players/1598599e/Nampalys-Mendy
2022,Leicester City,Premier League,Kiernan Dewsbury Hall,ENG,MF,22,71,https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
2022,Leicester City,Premier League,Luke Thomas,ENG,DF,20,71,https://fbref.com/en/players/fc027d02/Luke-Thomas
2022,Liverpool,Premier League,Alisson,BRA,GK,28,89,https://fbref.com/en/players/7a2e46a8/Alisson
2022,Liverpool,Premier League,Virgil van Dijk,NED,DF,30,89,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
2022,Liverpool,Premier League,Sadio Mané,SEN,FW,29,89,https://fbref.com/en/players/c691bfe2/Sadio-Mane
2022,Liverpool,Premier League,Mohamed Salah,EGY,FW,29,89,https://fbref.com/en/players/e342ad68/Mohamed-Salah
2022,Liverpool,Premier League,Trent Alexander-Arnold,ENG,DF,22,87,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
2022,Liverpool,Premier League,Andrew Robertson,SCO,DF,27,87,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
2022,Liverpool,Premier League,Thiago Alcántara,ESP,MF,30,86,https://fbref.com/en/players/77e84962/Thiago-Alcantara
2022,Liverpool,Premier League,Fabinho,BRA,MF,27,86,https://fbref.com/en/players/7f3b388c/Fabinho
2022,Liverpool,Premier League,Roberto Firmino,BRA,FW,29,85,https://fbref.com/en/players/4c370d81/Roberto-Firmino
2022,Liverpool,Premier League,Jordan Henderson,ENG,MF,31,84,https://fbref.com/en/players/935e6b8f/Jordan-Henderson
2022,Liverpool,Premier League,Joël Matip,CMR,DF,29,83,https://fbref.com/en/players/b217ef29/Joel-Matip
2022,Liverpool,Premier League,Diogo Jota,POR,FW,24,82,https://fbref.com/en/players/178ae8f8/Diogo-Jota
2022,Liverpool,Premier League,Luis Díaz,COL,FW,24,80,https://fbref.com/en/players/4a1a9578/Luis-Diaz
2022,Liverpool,Premier League,Naby Keïta,GUI,MF,26,80,https://fbref.com/en/players/f25c8e3a/Naby-Keita
2022,Liverpool,Premier League,Ibrahima Konaté,FRA,DF,22,78,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
2022,Manchester City,Premier League,Kevin De Bruyne,BEL,MF,30,91,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
2022,Manchester City,Premier League,Ederson,BRA,GK,27,89,https://fbref.com/en/players/3bb7b8b4/Ederson
2022,Manchester City,Premier League,Raheem Sterling,ENG,FW,26,88,https://fbref.com/en/players/b400bde0/Raheem-Sterling
2022,Manchester City,Premier League,Rúben Dias,POR,DF,24,87,https://fbref.com/en/players/31c69ef1/Ruben-Dias
2022,Manchester City,Premier League,João Cancelo,POR,DF,27,86,https://fbref.com/en/players/bd6351cd/Joao-Cancelo
2022,Manchester City,Premier League,Aymeric Laporte,ESP,DF,27,86,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte
2022,Manchester City,Premier League,Riyad Mahrez,ALG,FW,30,86,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez
2022,Manchester City,Premier League,Rodri,ESP,MF,25,86,https://fbref.com/en/players/6434f10d/Rodri
2022,Manchester City,Premier League,Bernardo Silva,POR,"MF,FW",26,86,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
2022,Manchester City,Premier League,İlkay Gündoğan,GER,MF,30,85,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
2022,Manchester City,Premier League,Kyle Walker,ENG,DF,31,85,https://fbref.com/en/players/86dd77d1/Kyle-Walker
2022,Manchester City,Premier League,Phil Foden,ENG,FW,21,84,https://fbref.com/en/players/ed1e53f3/Phil-Foden
2022,Manchester City,Premier League,Jack Grealish,ENG,FW,25,84,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
2022,Manchester City,Premier League,Fernandinho,BRA,"MF,DF",36,83,https://fbref.com/en/players/101da2b5/Fernandinho
2022,Manchester City,Premier League,Gabriel Jesus,BRA,FW,24,83,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
2022,Manchester City,Premier League,John Stones,ENG,DF,27,83,https://fbref.com/en/players/5eecec3d/John-Stones
2022,Manchester City,Premier League,Oleksandr Zinchenko,UKR,DF,24,80,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
2022,Manchester City,Premier League,Nathan Aké,NED,DF,26,78,https://fbref.com/en/players/eaeca114/Nathan-Ake
2022,Manchester Utd,Premier League,Cristiano Ronaldo,POR,FW,36,91,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo
2022,Manchester Utd,Premier League,Bruno Fernandes,POR,MF,26,88,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
2022,Manchester Utd,Premier League,Paul Pogba,FRA,"MF,FW",28,87,https://fbref.com/en/players/867239d3/Paul-Pogba
2022,Manchester Utd,Premier League,Jadon Sancho,ENG,"FW,MF",21,87,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2022,Manchester Utd,Premier League,Raphaël Varane,FRA,DF,28,86,https://fbref.com/en/players/9f8e9423/Raphael-Varane
2022,Manchester Utd,Premier League,Marcus Rashford,ENG,"FW,MF",23,85,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
2022,Manchester Utd,Premier League,David de Gea,ESP,GK,30,84,https://fbref.com/en/players/7ba6d84e/David-de-Gea
2022,Manchester Utd,Premier League,Harry Maguire,ENG,DF,28,84,https://fbref.com/en/players/d8931174/Harry-Maguire
2022,Manchester Utd,Premier League,Luke Shaw,ENG,DF,26,84,https://fbref.com/en/players/9c94165b/Luke-Shaw
2022,Manchester Utd,Premier League,Aaron Wan-Bissaka,ENG,DF,23,83,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka
2022,Manchester Utd,Premier League,Alex Telles,BRA,DF,28,82,https://fbref.com/en/players/e73c9bb2/Alex-Telles
2022,Manchester Utd,Premier League,Fred,BRA,MF,28,81,https://fbref.com/en/players/b853e0ad/Fred
2022,Manchester Utd,Premier League,Victor Lindelöf,SWE,DF,27,80,https://fbref.com/en/players/f5deef4c/Victor-Lindelof
2022,Manchester Utd,Premier League,Scott McTominay,SCO,MF,24,80,https://fbref.com/en/players/d93c2511/Scott-McTominay
2022,Manchester Utd,Premier League,Nemanja Matić,SRB,MF,32,79,https://fbref.com/en/players/eb7822d7/Nemanja-Matic
