Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,overall,UrlFBref
2022,Arsenal,Premier League,Pierre-Emerick Aubameyang,GAB,FW,32,85,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2022,Arsenal,Premier League,Thomas Partey,GHA,MF,28,83,https://fbref.com/en/players/529f49ab/Thomas-Partey
2022,Arsenal,Premier League,Alexandre Lacazette,FRA,"FW,MF",30,82,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette
2022,Arsenal,Premier League,Martin Ødegaard,NOR,MF,22,82,https://fbref.com/en/players/79300479/Martin-Odegaard
2022,Arsenal,Premier League,Bukayo Saka,ENG,"FW,MF",19,80,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
2022,Arsenal,Premier League,Kieran Tierney,SCO,DF,24,80,https://fbref.com/en/players/fce2302c/Kieran-Tierney
2022,Arsenal,Premier League,Gabriel Dos Santos,BRA,DF,23,79,https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos
2022,Arsenal,Premier League,Granit Xhaka,SUI,"MF,DF",28,79,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
2022,Arsenal,Premier League,Martinelli,BRA,"FW,MF",20,76,https://fbref.com/en/players/48a5a5d6/Martinelli
2022,Arsenal,Premier League,Emile Smith Rowe,ENG,"MF,FW",21,76,https://fbref.com/en/players/17695062/Emile-Smith-Rowe
2022,Arsenal,Premier League,Cédric Soares,POR,DF,29,76,https://fbref.com/en/players/839c14e1/Cedric-Soares
2022,Arsenal,Premier League,Ben White,ENG,DF,23,76,https://fbref.com/en/players/35e413f1/Ben-White
2022,Arsenal,Premier League,Takehiro Tomiyasu,JPN,DF,22,75,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
2022,Arsenal,Premier League,Aaron Ramsdale,ENG,GK,23,74,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
2022,Arsenal,Premier League,Albert Sambi Lokonga,BEL,MF,21,73,https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga
2022,Arsenal,Premier League,Nuno Tavares,POR,DF,21,70,https://fbref.com/en/players/a65c844b/Nuno-Tavares
2022,Aston Villa,Premier League,Lucas Digne,FRA,DF,28,84,https://fbref.com/en/players/1b84dbe1/Lucas-Digne
2022,Aston Villa,Premier League,Emiliano Martínez,ARG,GK,28,84,https://fbref.com/en/players/7956236f/Emiliano-Martinez
2022,Aston Villa,Premier League,Philippe Coutinho,BRA,"MF,FW",29,82,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho
2022,Aston Villa,Premier League,Danny Ings,ENG,FW,29,81,https://fbref.com/en/players/07802f7f/Danny-Ings
2022,Aston Villa,Premier League,Emi Buendía,ARG,"FW,MF",24,79,https://fbref.com/en/players/66b76d44/Emi-Buendia
2022,Aston Villa,Premier League,Matty Cash,POL,DF,23,78,https://fbref.com/en/players/2389cdc2/Matty-Cash
2022,Aston Villa,Premier League,Ezri Konsa,ENG,DF,23,78,https://fbref.com/en/players/0313a347/Ezri-Konsa
2022,Aston Villa,Premier League,John McGinn,SCO,MF,26,78,https://fbref.com/en/players/90f91999/John-McGinn
2022,Aston Villa,Premier League,Tyrone Mings,ENG,DF,28,78,https://fbref.com/en/players/8397a50c/Tyrone-Mings
2022,Aston Villa,Premier League,Ollie Watkins,ENG,FW,25,78,https://fbref.com/en/players/aed3a70f/Ollie-Watkins
2022,Aston Villa,Premier League,Ashley Young,ENG,"DF,FW",36,78,https://fbref.com/en/players/be927d03/Ashley-Young
2022,Aston Villa,Premier League,Douglas Luiz,BRA,MF,23,77,https://fbref.com/en/players/6f7d826d/Douglas-Luiz
2022,Aston Villa,Premier League,Matt Targett,ENG,DF,25,77,https://fbref.com/en/players/e514ab62/Matt-Targett
2022,Aston Villa,Premier League,Marvelous Nakamba,ZIM,MF,27,75,https://fbref.com/en/players/de5b5570/Marvelous-Nakamba
2022,Aston Villa,Premier League,Jacob Ramsey,ENG,MF,20,68,https://fbref.com/en/players/1544f145/Jacob-Ramsey
2022,Brentford,Premier League,Christian Eriksen,DEN,MF,29,82,https://fbref.com/en/players/980522ec/Christian-Eriksen
2022,Brentford,Premier League,Ivan Toney,ENG,FW,25,76,https://fbref.com/en/players/e09f279b/Ivan-Toney
2022,Brentford,Premier League,Kristoffer Ajer,NOR,DF,23,75,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer
2022,Brentford,Premier League,Pontus Jansson,SWE,DF,30,75,https://fbref.com/en/players/172e52d8/Pontus-Jansson
2022,Brentford,Premier League,Frank Onyeka,NGA,MF,23,75,https://fbref.com/en/players/2944f86f/Frank-Onyeka
2022,Brentford,Premier League,Yoane Wissa,COD,"FW,MF",24,75,https://fbref.com/en/players/2500cef9/Yoane-Wissa
2022,Brentford,Premier League,Rico Henry,ENG,DF,24,74,https://fbref.com/en/players/8a3c1dc7/Rico-Henry
2022,Brentford,Premier League,Mathias Jensen,DEN,MF,25,74,https://fbref.com/en/players/0f134faf/Mathias-Jensen
2022,Brentford,Premier League,Bryan Mbeumo,FRA,FW,21,74,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo
2022,Brentford,Premier League,Ethan Pinnock,JAM,DF,28,74,https://fbref.com/en/players/e541326e/Ethan-Pinnock
2022,Brentford,Premier League,David Raya,ESP,GK,25,74,https://fbref.com/en/players/98ea5115/David-Raya
2022,Brentford,Premier League,Álvaro Fernández,ESP,GK,23,73,https://fbref.com/en/players/f127d782/Alvaro-Fernandez
2022,Brentford,Premier League,Vitaly Janelt,GER,MF,23,73,https://fbref.com/en/players/8449d35e/Vitaly-Janelt
2022,Brentford,Premier League,Christian Nørgaard,DEN,MF,27,73,https://fbref.com/en/players/df0a4c90/Christian-Norgaard
2022,Brentford,Premier League,Sergi Canós,ESP,DF,24,72,https://fbref.com/en/players/1137759d/Sergi-Canos
2022,Brentford,Premier League,Mads Roerslev,DEN,DF,22,67,https://fbref.com/en/players/57c94db2/Mads-Roerslev
2022,Brentford,Premier League,Shandon Baptiste,GRN,MF,23,66,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste
2022,Brighton,Premier League,Marc Cucurella,ESP,DF,23,81,https://fbref.com/en/players/1daec722/Marc-Cucurella
2022,Brighton,Premier League,Yves Bissouma,MLI,MF,24,79,https://fbref.com/en/players/6c203af0/Yves-Bissouma
