Player,weighted_pred,value,rating,rating_scaled
Ederson,88.14835514405634,-1.6787984800836095,86.46955666397272,2.965250455108095
João Cancelo,88.3915539325114,-1.6578114185971489,86.73374251391425,3.0619244913327193
Rodri,87.50666458599585,-1.4793450434653606,86.02731954253049,2.803421774625614
Bernardo Silva,86.60290821223154,-1.4732640263809036,85.12964418585064,2.4749337046974613
Aymeric Laporte,86.94222412478388,-1.4915112399864252,85.45071288479745,2.592422991271468
Rúben Dias,87.2370028902783,-1.2474852617341208,85.98951762854418,2.789588847529474
Kevin De Bruyne,86.60225618469316,-1.111882497355121,85.49037368733804,2.606936145031802
Phil Foden,87.30791480669286,-1.1017761374036759,86.20613866928919,2.8688574016349797
Raheem Sterling,86.64788924618752,-1.1156436841129516,85.53224556207456,2.622258400693746
Jack Grealish,85.99605117712191,-1.0027360040189084,84.993315173103,2.4250465668369383
Gabriel Jesus,86.32615970155581,-0.8790865844723827,85.44707311708342,2.5910910840708605
İlkay Gündoğan,87.76582784764388,-0.9602847137434251,86.80554313390046,3.088198630311144
Kyle Walker,82.89184237178354,-0.8121912614991674,82.07965111028437,1.358843871962637
Riyad Mahrez,83.56571764131496,-0.7325854305758366,82.83313221073912,1.6345666603559388
John Stones,80.48767725729758,-0.6052384823253623,79.88243877497221,0.554813735813509
Oleksandr Zinchenko,84.35965586658338,-0.45005147647067095,83.9096043901127,2.0284821955240613
Fernandinho,81.80161436825611,-0.4196612496561107,81.3819531186,1.103533903859228
Nathan Aké,81.05322472090688,-0.5087268350618686,80.54449788584502,0.7970822997109552
Ferrán Torres,78.36712365667543,-0.14814549249027886,78.21897816418516,-0.053899605120749046
Cole Palmer,78.36712365667543,-0.04937951934301853,78.31774413733241,-0.017757982592854347
Zack Steffen,78.36712365667543,-0.04921333032866731,78.31791032634676,-0.017697168727172086
Benjamin Mendy,78.36712365667543,-0.028188470434908828,78.33893518624052,-0.010003501305406056
James Mcatee,78.36712365667543,-0.003022537269098216,78.36410111940633,-7.944829759369791e-4
Liam Delap,78.36712365667543,-0.001195837458557457,78.36592781921688,-1.2603520064644652e-4
Kayky Chagas,78.36712365667543,-9.687569035386837e-4,78.3661548997719,-4.293917636326064e-5
CJ Egan-Riley,78.36712365667543,-5.438662917126437e-4,78.36657979038372,1.1254186248934259e-4
Scott Carson,78.36712365667543,NA,NA,NA
Thomas Doyle,78.36712365667543,NA,NA,NA
Samuel Edozie,78.36712365667543,NA,NA,NA
Roméo Lavia,78.36712365667543,NA,NA,NA
Luke Mbete-Tatu,78.36712365667543,NA,NA,NA
Cieran Slicker,78.36712365667543,NA,NA,NA
Josh Wilson-Esbrand,78.36712365667543,NA,NA,NA
Alisson,87.27274295832471,-1.1577245544941428,86.11501840383058,2.8355135876279345
Virgil van Dijk,82.84423101268695,-1.0998192395825424,81.7444117731044,1.2361690964830694
Trent Alexander-Arnold,85.43065663927527,-1.0273706973939352,84.40328594188134,2.2091360353480822
