Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled
Ryan Alebiousu,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Zach Awe,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Miguel Azeez,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Héctor Bellerín,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mika Biereth,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marcelo Flores,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Omari Hutchinson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Karl Jakob Hein,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alex Kirk,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mazeed Ogungbo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Arthur Okonkwo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
