Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled
Ashley Westwood,2022,Burnley,Premier League,2287,76.32889892655965,-0.5364710801544643
Ben Mee,2022,Burnley,Premier League,1839,73.91762052967343,-1.4386606150709176
Maxwel Cornet,2022,Burnley,Premier League,1766,76.31155296156392,-0.5429611428997617
Matthew Lowton,2022,Burnley,Premier League,1772,73.0373339665796,-1.7680233821310762
Jack Cork,2022,Burnley,Premier League,1670,71.99981133278568,-2.1562166590486536
Connor Roberts,2022,Burnley,Premier League,1692,72.3456056752552,-2.026836311506795
Nathan Collins,2022,Burnley,Premier League,1670,74.73527699496954,-1.1327311516379408
Aaron Lennon,2022,Burnley,Premier League,1551,72.25998746549168,-2.05887070991831
Wout Weghorst,2022,Burnley,Premier League,1450,74.9811379791907,-1.0407412730345273
Jay Rodriguez,2022,Burnley,Premier League,1382,73.53978014648061,-1.580031117964976
Jóhann Berg Guðmundsson,2022,Burnley,Premier League,1102,70.50479610484841,-2.7155826347599143
Ashley Barnes,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Erik Pieters,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Matěj Vydra,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kevin Long,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Wayne Hennessey,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dale Stephens,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Phil Bardsley,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dara Costelloe,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Owen Dodgson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Anthony Gomez Mancini,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Joseph McGlynn,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Will Norris,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lewis Richardson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bobby Thomas,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Sam Waller,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Emmanuel Dennis,2022,Watford,Premier League,2581,78.93985997136676,0.4404305226390433
Craig Cathcart,2022,Watford,Premier League,2396,75.17470576975646,-0.9683171036931383
Joshua King,2022,Watford,Premier League,2248,76.22943063718499,-0.573687541698573
Ben Foster,2022,Watford,Premier League,2340,77.40415574234031,-0.134159406895328
Kiko Femenía,2022,Watford,Premier League,2142,74.4636879935555,-1.234347271614203
Juraj Kucka,2022,Watford,Premier League,1920,73.9294991735945,-1.4342161725509568
Ismaila Sarr,2022,Watford,Premier League,1861,75.67899823918177,-0.7796340428569416
Tom Cleverley,2022,Watford,Premier League,1616,73.26437749229989,-1.6830741315012467
Samir Santos,2022,Watford,Premier League,1673,73.96180352841971,-1.422129367935956
Hassane Kamara,2022,Watford,Premier League,1623,71.29398539309624,-2.420304280404488
Imran Louza,2022,Watford,Premier League,1416,74.33426425655591,-1.2827716846730963
João Pedro,2022,Watford,Premier League,1644,75.28469447767972,-0.92716438512879
William Troost-Ekong,2022,Watford,Premier League,1390,72.97808199557754,-1.7901927459964257
Adam Masina,2022,Watford,Premier League,1077,72.34212228986787,-2.028139634195119
Christian Kabasele,2022,Watford,Premier League,1193,72.52018998268946,-1.9615148889239769
Daniel Bachmann,2022,Watford,Premier League,1080,74.31039475974437,-1.2917025531513706
Cucho,2022,Watford,Premier League,1147,72.48610048684297,-1.9742696112501064
Jeremy Ngakia,2022,Watford,Premier League,903,72.74653730872546,-1.8768261242132285
Edo Kayembe,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ken Sema,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Danny Rose,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Francisco Sierralta,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Oghenekaro Etebo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ozan Tufan,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Samuel Kalu,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Nicolas Nkoulou,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dan Gosling,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ashley Fletcher,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Troy Deeney,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Vincent Angelini,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kwadwo Baah,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Adrian Blake,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kamil Conteh,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tiago Çukur,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Rob Elliot,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Shaqai Forde,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jack Grieves,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
James Morris,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Teemu Pukki,2022,Norwich City,Premier League,3253,81.13365411357215,1.2612474467298354
Grant Hanley,2022,Norwich City,Premier League,2897,77.29503545558478,-0.17498720217813216
Max Aarons,2022,Norwich City,Premier League,2881,77.91841401670742,0.05825240004381595
Kenny McLean,2022,Norwich City,Premier League,2706,74.56093998121494,-1.1979600482933788
Tim Krul,2022,Norwich City,Premier League,2610,80.52879731972807,1.0349378384183583
Ben Gibson,2022,Norwich City,Premier League,2494,77.50854235912351,-0.0951027333197039
Pierre Lees-Melou,2022,Norwich City,Premier League,2265,75.54444516651462,-0.8299776175382853
Milot Rashica,2022,Norwich City,Premier League,2229,72.72059354159995,-1.886533089293317
Billy Gilmour,2022,Norwich City,Premier League,1855,78.7132165060033,0.3556309562048425
Mathias Normann,2022,Norwich City,Premier League,1645,74.17939191155429,-1.3407177970294566
Josh Sargent,2022,Norwich City,Premier League,1572,71.07407814653114,-2.5025834634136026
Dimitris Giannoulis,2022,Norwich City,Premier League,1169,74.89547712011857,-1.0727916288568295
Sam Byram,2022,Norwich City,Premier League,1027,73.61011207423034,-1.5537161436060427
Ozan Kabak,2022,Norwich City,Premier League,922,74.2764113602974,-1.3044175790818195
Kieran Dowell,2022,Norwich City,Premier League,912,73.68016424935743,-1.527505839818887
Angus Gunn,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lukas Rupp,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Adam Idah,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jakob Sørensen,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Przemysław Płacheta,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Todd Cantwell,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
