Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-11-07,Liverpool,Away,1,33,Virgil van Dijk,Blocked,13,Head,,Trent Alexander-Arnold,Pass (Dead),Fabinho,Fouled
2021-11-07,Liverpool,Away,1,35,Trent Alexander-Arnold,Off Target,17,Right Foot,Volley,,,,
2021-11-07,Liverpool,Away,1,41,Trent Alexander-Arnold,Goal,22,Right Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Dead)
2021-11-07,Liverpool,Away,1,45,Sadio Mané,Blocked,16,Left Foot,,Jordan Henderson,Pass (Live),Sadio Mané,Pass (Live)
2021-11-07,Liverpool,Away,1,45+8,Jordan Henderson,Blocked,24,Right Foot,Half volley,,,,
2021-11-07,Liverpool,Away,2,52,Sadio Mané,Saved,9,Left Foot,Volley,Andrew Robertson,Pass (Live),Trent Alexander-Arnold,Pass (Live)
2021-11-07,Liverpool,Away,2,55,Mohamed Salah,Blocked,15,Left Foot,,Trent Alexander-Arnold,Pass (Live),Jordan Henderson,Pass (Live)
2021-11-07,Liverpool,Away,2,57,Alex Oxlade-Chamberlain,Blocked,25,Left Foot,,Diogo Jota,Pass (Live),Mohamed Salah,Pass (Live)
2021-11-07,Liverpool,Away,2,57,Mohamed Salah,Off Target,14,Left Foot,Half volley,Sadio Mané,Pass (Live),Andrew Robertson,Pass (Live)
2021-11-07,Liverpool,Away,2,69,Diogo Jota,Off Target,6,Head,,Jordan Henderson,Pass (Live),,
2021-11-07,Liverpool,Away,2,82,Thiago Alcántara,Saved,18,Right Foot,,,,,
2021-11-07,Liverpool,Away,2,83,Divock Origi,Goal,16,Left Foot,Half volley,,,,
2021-11-07,Liverpool,Away,2,90+1,Sadio Mané,Off Target,6,Head,Diving header,Trent Alexander-Arnold,Pass (Dead),Takumi Minamino,Fouled
2021-11-07,Liverpool,Away,2,90+4,Divock Origi,Saved,8,Head,,Trent Alexander-Arnold,Pass (Live),Thiago Alcántara,Pass (Live)
2021-11-20,Leicester City,Home,2,58,James Maddison,Saved,27,Left Foot,,Marc Albrighton,Pass (Dead),,
2021-11-20,Leicester City,Home,2,63,Daniel Amartey,Saved,33,Right Foot,,,,,
2021-11-20,Leicester City,Home,2,65,Jamie Vardy,Off Target,5,Head,,James Maddison,Pass (Live),Kelechi Iheanacho,Pass (Live)
2021-11-20,Leicester City,Home,2,82,James Maddison,Saved,27,Left Foot,Deflected,Kiernan Dewsbury Hall,Pass (Live),Kelechi Iheanacho,Pass (Live)
2021-11-20,Chelsea,Away,1,4,Ben Chilwell,Woodwork,9,Left Foot,,Jorginho,Pass (Dead),Jorginho,Fouled
