Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-08-13,Brentford,Home,1,11,Frank Onyeka,Off Target,7,Head,,Bryan Mbeumo,Pass (Live),Rico Henry,Pass (Live)
2021-08-13,Brentford,Home,1,12,Bryan Mbeumo,Woodwork,16,Right Foot,,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live)
2021-08-13,Brentford,Home,1,22,Sergi Canós,Goal,17,Right Foot,,Ethan Pinnock,Pass (Live),,
2021-08-13,Brentford,Home,1,28,Sergi Canós,Off Target,20,Right Foot,,Frank Onyeka,Pass (Live),Sergi Canós,Pass (Live)
2021-08-13,Brentford,Home,1,30,Bryan Mbeumo,Off Target,13,Right Foot,,Bryan Mbeumo,Dribble,Kristoffer Ajer,Pass (Live)
2021-08-13,Brentford,Home,2,66,Sergi Canós,Saved,16,Right Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live)
2021-08-13,Brentford,Home,2,73,Christian Nørgaard,Goal,3,Head,,,,,
2021-08-13,Brentford,Home,2,80,Christian Nørgaard,Off Target,3,Head,,Sergi Canós,Pass (Dead),Rico Henry,Pass (Live)
2021-08-13,Arsenal,Away,1,2,Kieran Tierney,Saved,33,Left Foot,,Nicolas Pépé,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,16,Calum Chambers,Wayward,20,Right Foot,Half volley,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,31,Folarin Balogun,Off Target,9,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,33,Nicolas Pépé,Off Target,24,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live)
2021-08-13,Arsenal,Away,1,38,Folarin Balogun,Off Target,24,Right Foot,,,,,
2021-08-13,Arsenal,Away,1,42,Folarin Balogun,Wayward,9,Head,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,45+1,Nicolas Pépé,Blocked,16,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live)
2021-08-13,Arsenal,Away,2,51,Emile Smith Rowe,Saved,17,Right Foot,,Kieran Tierney,Pass (Live),Ben White,Interception
2021-08-13,Arsenal,Away,2,60,Albert Sambi Lokonga,Saved,26,Left Foot,,Nicolas Pépé,Pass (Live),Albert Sambi Lokonga,Pass (Live)
2021-08-13,Arsenal,Away,2,64,Kieran Tierney,Blocked,18,Right Foot,Half volley,Bukayo Saka,Pass (Live),Albert Sambi Lokonga,Pass (Live)
2021-08-13,Arsenal,Away,2,65,Martinelli,Wayward,5,Head,,Nicolas Pépé,Pass (Dead),Kieran Tierney,Shot
2021-08-13,Arsenal,Away,2,68,Calum Chambers,Blocked,20,Right Foot,,Granit Xhaka,Pass (Live),Bukayo Saka,Pass (Live)
2021-08-13,Arsenal,Away,2,70,Granit Xhaka,Off Target,14,Left Foot,Half volley,Calum Chambers,Pass (Live),Nicolas Pépé,Pass (Live)
2021-08-13,Arsenal,Away,2,76,Kieran Tierney,Off Target,16,Left Foot,Volley,Emile Smith Rowe,Pass (Live),Kieran Tierney,Pass (Live)
2021-08-13,Arsenal,Away,2,77,Nicolas Pépé,Off Target,25,Left Foot,Free kick,Kieran Tierney,Fouled,Bukayo Saka,Pass (Live)
2021-08-13,Arsenal,Away,2,83,Nuno Tavares,Off Target,27,Left Foot,,Albert Sambi Lokonga,Pass (Live),Reiss Nelson,Pass (Live)
2021-08-13,Arsenal,Away,2,86,Granit Xhaka,Off Target,27,Left Foot,,Albert Sambi Lokonga,Pass (Live),Bukayo Saka,Pass (Live)
2021-08-13,Arsenal,Away,2,87,Nicolas Pépé,Saved,14,Left Foot,,Kieran Tierney,Pass (Live),Emile Smith Rowe,Pass (Live)
2021-08-13,Arsenal,Away,2,87,Pablo Marí,Off Target,4,Head,,Emile Smith Rowe,Pass (Live),Nicolas Pépé,Pass (Dead)
2021-08-13,Arsenal,Away,2,90+1,Albert Sambi Lokonga,Off Target,31,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,2,90+2,Reiss Nelson,Blocked,18,Left Foot,Half volley,Kieran Tierney,Pass (Live),Kieran Tierney,Dribble
2021-08-13,Arsenal,Away,2,90+2,Emile Smith Rowe,Off Target,17,Right Foot,,Reiss Nelson,Pass (Live),Reiss Nelson,Shot
2021-08-14,Manchester Utd,Away,1,2,Scott McTominay,Blocked,13,Right Foot,,Bruno Fernandes,Pass (Live),Daniel James,Pass (Live)
2021-08-14,Manchester Utd,Away,1,6,Mason Greenwood,Saved,25,Left Foot,,Scott McTominay,Pass (Live),Bruno Fernandes,Pass (Live)
2021-08-14,Manchester Utd,Away,1,11,Harry Maguire,Off Target,13,Head,,Luke Shaw,Pass (Dead),,
2021-08-14,Manchester Utd,Away,1,12,Paul Pogba,Off Target,15,Left Foot,,Mason Greenwood,Pass (Live),Mason Greenwood,Dribble
2021-08-14,Manchester Utd,Away,1,15,Daniel James,Blocked,17,Left Foot,Half volley,,,,
2021-08-14,Manchester Utd,Away,1,27,Paul Pogba,Saved,33,Right Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live)
2021-08-14,Manchester Utd,Away,1,30,Bruno Fernandes,Goal,13,Left Foot,Half volley,Paul Pogba,Pass (Live),Scott McTominay,Pass (Live)
2021-08-14,Manchester Utd,Away,1,33,Luke Shaw,Off Target,18,Left Foot,,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live)
2021-08-14,Manchester Utd,Away,1,36,Daniel James,Off Target,16,Right Foot,,Luke Shaw,Pass (Live),,
2021-08-14,Manchester Utd,Away,1,42,Bruno Fernandes,Blocked,28,Right Foot,,Daniel James,Pass (Live),Victor Lindelöf,Pass (Live)
2021-08-14,Manchester Utd,Away,1,45,Daniel James,Saved,17,Right Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live)
2021-08-14,Manchester Utd,Away,2,52,Mason Greenwood,Goal,15,Left Foot,,Paul Pogba,Pass (Live),Luke Shaw,Pass (Live)
2021-08-14,Manchester Utd,Away,2,54,Bruno Fernandes,Goal,11,Left Foot,,Paul Pogba,Pass (Live),Fred,Pass (Live)
2021-08-14,Manchester Utd,Away,2,60,Bruno Fernandes,Goal,13,Right Foot,Half volley,Victor Lindelöf,Pass (Live),Scott McTominay,Pass (Live)
2021-08-14,Manchester Utd,Away,2,68,Fred,Goal,14,Left Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live)
2021-08-14,Manchester Utd,Away,2,74,Mason Greenwood,Off Target,26,Left Foot,,,,,
2021-08-14,Leeds United,Away,1,9,Mateusz Klich,Blocked,19,Right Foot,,Jack Harrison,Pass (Live),Raphael Dias Belloli,Pass (Dead)
2021-08-14,Leeds United,Away,1,16,Jack Harrison,Saved,24,Left Foot,Half volley,,,,
2021-08-14,Leeds United,Away,1,16,Mateusz Klich,Saved,24,Right Foot,,Jack Harrison,Pass (Live),Mateusz Klich,Pass (Live)
2021-08-14,Leeds United,Away,1,26,Patrick Bamford,Off Target,11,Head,,Raphael Dias Belloli,Pass (Dead),Jack Harrison,Fouled
2021-08-14,Leeds United,Away,1,34,Raphael Dias Belloli,Blocked,21,Left Foot,,Patrick Bamford,Pass (Live),Stuart Dallas,Pass (Live)
2021-08-14,Leeds United,Away,2,49,Luke Ayling,Goal,26,Right Foot,,Stuart Dallas,Pass (Live),Junior Firpo,Pass (Dead)
2021-08-14,Leeds United,Away,2,79,Tyler Roberts,Off Target,27,Right Foot,Half volley,,,,
2021-08-14,Leeds United,Away,2,80,Hélder Costa,Off Target,22,Right Foot,Half volley,Liam Cooper,Pass (Live),,
2021-08-14,Leeds United,Away,2,86,Raphael Dias Belloli,Off Target,16,Left Foot,,Tyler Roberts,Pass (Live),Pascal Struijk,Pass (Live)
2021-08-14,Leeds United,Away,2,87,Luke Ayling,Off Target,17,Right Foot,Half volley,,,,
2021-08-14,Leicester City,Home,1,10,Jamie Vardy,Saved,16,Left Foot,Half volley,Ayoze Pérez,Pass (Live),Wilfred Ndidi,Pass (Live)
2021-08-14,Leicester City,Home,1,16,Jamie Vardy,Blocked,11,Right Foot,,,,,
2021-08-14,Leicester City,Home,1,26,Jamie Vardy,Saved,22,Left Foot,,Ayoze Pérez,Pass (Live),Daniel Amartey,Pass (Live)
2021-08-14,Leicester City,Home,1,34,Jamie Vardy,Wayward,12,Right Foot,Back heel,James Maddison,Pass (Live),,
2021-08-14,Leicester City,Home,1,41,Jamie Vardy,Goal,9,Left Foot,Volley,Ricardo Pereira,Pass (Live),Ricardo Pereira,Dribble
2021-08-14,Leicester City,Home,1,45+1,Harvey Barnes,Saved,15,Right Foot,,Jamie Vardy,Pass (Live),Harvey Barnes,Pass (Live)
2021-08-14,Leicester City,Home,1,45+1,Youri Tielemans,Saved,31,Right Foot,,Ayoze Pérez,Pass (Live),James Maddison,Pass (Live)
2021-08-14,Leicester City,Home,2,77,Jamie Vardy,Off Target,19,Right Foot,,Youri Tielemans,Pass (Live),Kelechi Iheanacho,Pass (Live)
2021-08-14,Leicester City,Home,2,90+2,Kelechi Iheanacho,Blocked,19,Left Foot,,Jamie Vardy,Pass (Live),Youri Tielemans,Pass (Live)
2021-08-14,Wolves,Away,1,18,Adama Traoré,Blocked,23,Right Foot,,Adama Traoré,Dribble,Raúl Jiménez,Pass (Live)
2021-08-14,Wolves,Away,1,24,Rúben Neves,Off Target,30,Right Foot,,Raúl Jiménez,Pass (Live),Adama Traoré,Pass (Live)
2021-08-14,Wolves,Away,1,36,Adama Traoré,Off Target,16,Right Foot,,João Moutinho,Pass (Live),João Moutinho,Interception
2021-08-14,Wolves,Away,2,47,Adama Traoré,Blocked,18,Left Foot,,,,,
2021-08-14,Wolves,Away,2,47,João Moutinho,Off Target,26,Right Foot,,,,,
2021-08-14,Wolves,Away,2,51,Francisco Trincão,Blocked,10,Left Foot,,Rúben Neves,Pass (Live),Francisco Trincão,Pass (Live)
2021-08-14,Wolves,Away,2,53,Raúl Jiménez,Saved off Target,9,Head,,Fernando Marçal,Pass (Live),Adama Traoré,Pass (Live)
2021-08-14,Wolves,Away,2,57,Ki-Jana Hoever,Off Target,22,Right Foot,,Francisco Trincão,Pass (Live),Ki-Jana Hoever,Pass (Live)
2021-08-14,Wolves,Away,2,61,Adama Traoré,Blocked,23,Right Foot,,Francisco Trincão,Pass (Live),Francisco Trincão,Dribble
2021-08-14,Wolves,Away,2,65,Raúl Jiménez,Off Target,7,Head,,Ki-Jana Hoever,Pass (Live),Rúben Neves,Pass (Live)
2021-08-14,Wolves,Away,2,67,Adama Traoré,Saved,17,Right Foot,Half volley,Adama Traoré,Dribble,Romain Saïss,Pass (Live)
2021-08-14,Wolves,Away,2,73,Francisco Trincão,Saved,26,Left Foot,,Raúl Jiménez,Pass (Live),Francisco Trincão,Pass (Live)
2021-08-14,Wolves,Away,2,79,Adama Traoré,Blocked,18,Left Foot,,Adama Traoré,Tackle,,
2021-08-14,Wolves,Away,2,87,Max Kilman,Blocked,8,Left Foot,,Max Kilman,Dribble,Raúl Jiménez,Pass (Live)
2021-08-14,Wolves,Away,2,87,Max Kilman,Saved,8,Head,,Rúben Neves,Pass (Live),Ki-Jana Hoever,Pass (Live)
2021-08-14,Wolves,Away,2,88,Morgan Gibbs-White,Blocked,16,Left Foot,,Adama Traoré,Pass (Live),Fernando Marçal,Pass (Live)
2021-08-14,Wolves,Away,2,89,Raúl Jiménez,Wayward,18,Right Foot,Volley,,,,
2021-08-14,Burnley,Home,1,2,James Tarkowski,Goal,2,Head,,Ashley Westwood,Pass (Dead),Charlie Taylor,Pass (Dead)
2021-08-14,Burnley,Home,1,19,Jack Cork,Off Target,19,Right Foot,Half volley,Ashley Westwood,Pass (Live),,
2021-08-14,Burnley,Home,1,19,Jóhann Berg Guðmundsson,Woodwork,23,Right Foot,,,,,
2021-08-14,Burnley,Home,1,22,Chris Wood,Saved,26,Left Foot,,Matthew Lowton,Pass (Live),Chris Wood,Pass (Live)
2021-08-14,Burnley,Home,1,31,Jay Rodriguez,Saved,16,Right Foot,,Chris Wood,Dribble,Ashley Westwood,Pass (Live)
2021-08-14,Burnley,Home,1,36,Ben Mee,Woodwork,4,Head,,,,,
2021-08-14,Burnley,Home,1,36,James Tarkowski,Off Target,7,Right Foot,Volley,,,,
2021-08-14,Burnley,Home,2,52,Jóhann Berg Guðmundsson,Off Target,20,Left Foot,Free kick,Charlie Taylor,Fouled,Jay Rodriguez,Pass (Live)
2021-08-14,Burnley,Home,2,54,James Tarkowski,Off Target,4,Head,,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live)
2021-08-14,Burnley,Home,2,68,Chris Wood,Wayward,11,Head,,Dwight McNeil,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live)
2021-08-14,Burnley,Home,2,72,Chris Wood,Blocked,21,Right Foot,,Ashley Barnes,Pass (Live),,
2021-08-14,Burnley,Home,2,84,Jack Cork,Blocked,25,Right Foot,,Josh Brownhill,Pass (Live),Matthew Lowton,Pass (Live)
2021-08-14,Burnley,Home,2,85,Matěj Vydra,Blocked,21,Left Foot,,Chris Wood,Pass (Live),Matthew Lowton,Pass (Live)
2021-08-14,Burnley,Home,2,88,Matěj Vydra,Off Target,8,Head,,Charlie Taylor,Pass (Live),Ben Mee,Pass (Live)
2021-08-14,Brighton,Away,1,16,Solly March,Saved,28,Left Foot,Free kick,Neal Maupay,Fouled,Steven Alzate,Pass (Live)
2021-08-14,Brighton,Away,1,35,Shane Duffy,Off Target,10,Head,,Pascal Groß,Pass (Dead),,
2021-08-14,Brighton,Away,1,38,Neal Maupay,Saved,17,Right Foot,Overhead kick,Enock Mwepu,Pass (Live),Neal Maupay,Pass (Live)
2021-08-14,Brighton,Away,1,41,Shane Duffy,Blocked,11,Head,,Solly March,Pass (Dead),,
2021-08-14,Brighton,Away,1,41,Pascal Groß,Blocked,20,Right Foot,Half volley,Shane Duffy,Shot,,
2021-08-14,Brighton,Away,1,41,Neal Maupay,Off Target,9,Head,,Solly March,Pass (Live),Adam Webster,Pass (Live)
2021-08-14,Brighton,Away,2,47,Neal Maupay,Blocked,11,Right Foot,,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live)
2021-08-14,Brighton,Away,2,47,Adam Webster,Blocked,9,Head,,Pascal Groß,Pass (Dead),Neal Maupay,Shot
2021-08-14,Brighton,Away,2,58,Leandro Trossard,Off Target,11,Left Foot,,Steven Alzate,Pass (Live),Pascal Groß,Pass (Live)
2021-08-14,Brighton,Away,2,67,Shane Duffy,Saved,12,Head,,Solly March,Pass (Dead),Leandro Trossard,Dribble
2021-08-14,Brighton,Away,2,73,Neal Maupay,Goal,5,Right Foot,Deflected,Jakub Moder,Pass (Live),Yves Bissouma,Pass (Live)
2021-08-14,Brighton,Away,2,78,Alexis Mac Allister,Goal,10,Right Foot,,Pascal Groß,Pass (Live),Adam Webster,Pass (Live)
2021-08-14,Brighton,Away,2,90+2,Jakub Moder,Saved,22,Right Foot,Half volley,Robert Sánchez,Pass (Live),Lewis Dunk,Pass (Live)
2021-08-14,Brighton,Away,2,90+2,Pascal Groß,Blocked,28,Right Foot,Lob,Jakub Moder,Shot,,
2021-08-14,Chelsea,Home,1,7,César Azpilicueta,Off Target,22,Right Foot,,,,,
2021-08-14,Chelsea,Home,1,10,Christian Pulisic,Saved,11,Head,,Marcos Alonso,Pass (Live),Mateo Kovačić,Pass (Live)
2021-08-14,Chelsea,Home,1,13,Mateo Kovačić,Blocked,23,Right Foot,,Timo Werner,Pass (Live),Marcos Alonso,Pass (Dead)
2021-08-14,Chelsea,Home,1,15,Mason Mount,Saved,27,Right Foot,Free kick,Mason Mount,Fouled,Christian Pulisic,Pass (Live)
2021-08-14,Chelsea,Home,1,22,Mateo Kovačić,Wayward,26,Right Foot,Half volley,,,,
2021-08-14,Chelsea,Home,1,27,Marcos Alonso,Goal,24,Left Foot,Free kick,Mason Mount,Fouled,César Azpilicueta,Pass (Live)
2021-08-14,Chelsea,Home,1,34,Mason Mount,Blocked,25,Right Foot,Free kick,Christian Pulisic,Fouled,Jorginho,Pass (Live)
2021-08-14,Chelsea,Home,1,40,Christian Pulisic,Goal,6,Left Foot,,César Azpilicueta,Pass (Live),Mason Mount,Pass (Live)
2021-08-14,Chelsea,Home,1,44,Timo Werner,Off Target,9,Right Foot,,Marcos Alonso,Pass (Live),Jorginho,Pass (Live)
2021-08-14,Chelsea,Home,2,47,Marcos Alonso,Saved,15,Left Foot,Volley,Jorginho,Pass (Live),Mason Mount,Pass (Live)
2021-08-14,Chelsea,Home,2,48,Marcos Alonso,Off Target,28,Left Foot,Free kick,Mason Mount,Fouled,,
2021-08-14,Chelsea,Home,2,58,Trevoh Chalobah,Goal,27,Right Foot,,Mateo Kovačić,Pass (Live),Jorginho,Pass (Live)
2021-08-14,Chelsea,Home,2,68,Mason Mount,Blocked,26,Right Foot,,Mateo Kovačić,Pass (Live),Reece James,Pass (Live)
2021-08-14,Crystal Palace,Away,2,53,Wilfried Zaha,Blocked,12,Right Foot,,Jordan Ayew,Pass (Live),,
2021-08-14,Crystal Palace,Away,2,54,Jeffrey Schlupp,Off Target,10,Left Foot,Half volley,Marc Guéhi,Pass (Live),Jaïro Riedewald,Pass (Dead)
2021-08-14,Crystal Palace,Away,2,63,Jordan Ayew,Saved,8,Head,,James McArthur,Pass (Live),,
2021-08-14,Crystal Palace,Away,2,90,Christian Benteke,Off Target,14,Right Foot,Volley,Joachim Andersen,Pass (Live),Wilfried Zaha,Pass (Live)
2021-08-14,Watford,Home,1,3,Ismaila Sarr,Off Target,19,Right Foot,Volley,,,,
2021-08-14,Watford,Home,1,10,Emmanuel Dennis,Blocked,12,Right Foot,,Ismaila Sarr,Pass (Live),Tom Cleverley,Pass (Live)
2021-08-14,Watford,Home,1,10,Emmanuel Dennis,Goal,11,Right Foot,,Emmanuel Dennis,Shot,,
2021-08-14,Watford,Home,1,28,Ismaila Sarr,Saved,23,Right Foot,Half volley,Ismaila Sarr,Dribble,Emmanuel Dennis,Pass (Live)
2021-08-14,Watford,Home,1,29,Emmanuel Dennis,Saved,12,Right Foot,,Emmanuel Dennis,Dribble,Ismaila Sarr,Pass (Live)
2021-08-14,Watford,Home,1,32,Juraj Kucka,Off Target,21,Right Foot,Half volley,Emmanuel Dennis,Pass (Live),Juraj Kucka,Pass (Live)
2021-08-14,Watford,Home,1,40,Christian Kabasele,Off Target,6,Head,,Ken Sema,Pass (Dead),Ken Sema,Fouled
2021-08-14,Watford,Home,1,42,Ismaila Sarr,Goal,16,Right Foot,Deflected,Emmanuel Dennis,Pass (Live),Ismaila Sarr,Pass (Live)
2021-08-14,Watford,Home,1,43,Juraj Kucka,Off Target,27,Left Foot,,Emmanuel Dennis,Pass (Live),Emmanuel Dennis,Dribble
2021-08-14,Watford,Home,2,51,Emmanuel Dennis,Saved,19,Right Foot,,Ismaila Sarr,Pass (Live),Emmanuel Dennis,Pass (Live)
2021-08-14,Watford,Home,2,64,Emmanuel Dennis,Blocked,15,Right Foot,,Ken Sema,Pass (Live),Emmanuel Dennis,Pass (Live)
2021-08-14,Watford,Home,2,67,Cucho,Goal,22,Right Foot,,Tom Cleverley,Pass (Live),Juraj Kucka,Fouled
2021-08-14,Watford,Home,2,90,Cucho,Saved,23,Right Foot,,Oghenekaro Etebo,Pass (Live),,
2021-08-14,Aston Villa,Away,1,2,Emi Buendía,Blocked,22,Right Foot,,Ashley Young,Pass (Live),Danny Ings,Pass (Live)
2021-08-14,Aston Villa,Away,1,33,Ashley Young,Off Target,14,Head,,Matt Targett,Pass (Live),Anwar El Ghazi,Pass (Dead)
2021-08-14,Aston Villa,Away,2,49,Jacob Ramsey,Off Target,19,Left Foot,Half volley,,,,
2021-08-14,Aston Villa,Away,2,50,John McGinn,Off Target,23,Left Foot,,,,,
2021-08-14,Aston Villa,Away,2,70,John McGinn,Goal,19,Left Foot,Half volley,Leon Bailey,Pass (Live),Ashley Young,Pass (Live)
2021-08-14,Aston Villa,Away,2,83,Leon Bailey,Blocked,15,Right Foot,,Jacob Ramsey,Pass (Live),Bertrand Traoré,Pass (Live)
2021-08-14,Aston Villa,Away,2,88,Leon Bailey,Off Target,28,Left Foot,Free kick,Jacob Ramsey,Fouled,Danny Ings,Dribble
2021-08-14,Aston Villa,Away,2,90,John McGinn,Wayward,23,Left Foot,Half volley,Ashley Young,Pass (Live),Marvelous Nakamba,Pass (Live)
2021-08-14,Aston Villa,Away,2,90+7,Danny Ings (pen),Goal,12,Right Foot,,Bertrand Traoré,Fouled,Bertrand Traoré,Dribble
2021-08-14,Aston Villa,Away,2,90+8,Matty Cash,Wayward,25,Right Foot,Volley,,,,
2021-08-14,Aston Villa,Away,2,90+8,Bertrand Traoré,Blocked,16,Left Foot,Half volley,Bertrand Traoré,Dribble,Matty Cash,Shot
2021-08-14,Everton,Home,1,3,Allan,Saved,21,Right Foot,,Demarai Gray,Pass (Live),Allan,Pass (Live)
2021-08-14,Everton,Home,1,10,Dominic Calvert-Lewin,Off Target,4,Head,,Demarai Gray,Pass (Live),Séamus Coleman,Pass (Live)
2021-08-14,Everton,Home,1,34,Lucas Digne,Blocked,23,Left Foot,Free kick,Dominic Calvert-Lewin,Fouled,Demarai Gray,Pass (Live)
2021-08-14,Everton,Home,1,35,Dominic Calvert-Lewin,Off Target,6,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live)
2021-08-14,Everton,Home,1,44,Lucas Digne,Off Target,26,Left Foot,Half volley,,,,
2021-08-14,Everton,Home,2,47,Richarlison,Goal,5,Left Foot,Volley,Andros Townsend,Pass (Live),,
2021-08-14,Everton,Home,2,51,Michael Keane,Blocked,8,Left Foot,,Richarlison,Pass (Live),Lucas Digne,Pass (Live)
2021-08-14,Everton,Home,2,51,Dominic Calvert-Lewin,Saved,2,Right Foot,Half volley,Michael Keane,Shot,,
2021-08-14,Everton,Home,2,54,Abdoulaye Doucouré,Blocked,13,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live)
2021-08-14,Everton,Home,2,74,Alex Iwobi,Wayward,9,Right Foot,Volley,Séamus Coleman,Pass (Live),Abdoulaye Doucouré,Pass (Live)
2021-08-14,Everton,Home,2,76,Abdoulaye Doucouré,Goal,17,Right Foot,,Alex Iwobi,Pass (Live),Séamus Coleman,Pass (Live)
2021-08-14,Everton,Home,2,81,Dominic Calvert-Lewin,Goal,6,Head,Diving header,Richarlison,Pass (Live),Alex Iwobi,Pass (Live)
2021-08-14,Everton,Home,2,85,Dominic Calvert-Lewin,Off Target,16,Right Foot,,Lucas Digne,Pass (Live),,
2021-08-14,Everton,Home,2,88,Alex Iwobi,Saved,16,Left Foot,,Richarlison,Pass (Live),Lucas Digne,Pass (Live)
2021-08-14,Southampton,Away,1,5,Adam Armstrong,Off Target,14,Head,,James Ward-Prowse,Pass (Dead),Che Adams,Fouled
2021-08-14,Southampton,Away,1,22,Adam Armstrong,Goal,15,Right Foot,,Che Adams,Pass (Live),Che Adams,Tackle
2021-08-14,Southampton,Away,1,41,Adam Armstrong,Saved,16,Left Foot,Half volley,,,,
2021-08-14,Southampton,Away,2,72,Mohammed Salisu,Saved,16,Left Foot,Overhead kick,Romain Perraud,Pass (Live),,
2021-08-14,Southampton,Away,2,78,Oriol Romeu,Blocked,25,Right Foot,Half volley,,,,
2021-08-14,Southampton,Away,2,87,Ibrahima Diallo,Blocked,5,Head,,James Ward-Prowse,Pass (Dead),Che Adams,Fouled
2021-08-14,Norwich City,Home,1,20,Teemu Pukki,Saved,13,Right Foot,,Todd Cantwell,Pass (Live),Max Aarons,Pass (Live)
2021-08-14,Norwich City,Home,1,20,Lukas Rupp,Off Target,25,Right Foot,Half volley,,,,
2021-08-14,Norwich City,Home,1,21,Dimitris Giannoulis,Saved,21,Right Foot,,Pierre Lees-Melou,Pass (Live),Lukas Rupp,Pass (Live)
2021-08-14,Norwich City,Home,1,24,Todd Cantwell,Off Target,47,Right Foot,,,,,
2021-08-14,Norwich City,Home,1,45,Lukas Rupp,Blocked,9,Head,,Milot Rashica,Pass (Live),Milot Rashica,Dribble
2021-08-14,Norwich City,Home,2,47,Milot Rashica,Wayward,10,Head,,Pierre Lees-Melou,Pass (Live),Todd Cantwell,Pass (Live)
2021-08-14,Norwich City,Home,2,58,Ben Gibson,Blocked,8,Head,,Milot Rashica,Pass (Dead),,
2021-08-14,Norwich City,Home,2,58,Pierre Lees-Melou,Wayward,18,Right Foot,Volley,Dimitris Giannoulis,Pass (Live),,
2021-08-14,Norwich City,Home,2,70,Lukas Rupp,Off Target,22,Right Foot,,Todd Cantwell,Pass (Live),,
2021-08-14,Norwich City,Home,2,87,Ben Gibson,Saved,4,Left Foot,Half volley,Pierre Lees-Melou,Pass (Live),Lukas Rupp,Pass (Live)
2021-08-14,Norwich City,Home,2,87,Grant Hanley,Blocked,5,Left Foot,Half volley,,,,
2021-08-14,Norwich City,Home,2,87,Adam Idah,Saved,4,Right Foot,Half volley,Grant Hanley,Shot,,
2021-08-14,Norwich City,Home,2,87,Max Aarons,Off Target,32,Right Foot,,Kieran Dowell,Pass (Live),,
2021-08-14,Norwich City,Home,2,89,Josh Sargent,Off Target,19,Right Foot,,Max Aarons,Pass (Live),Pierre Lees-Melou,Pass (Live)
2021-08-14,Norwich City,Home,2,90,Lukas Rupp,Off Target,23,Left Foot,,Kieran Dowell,Pass (Live),Lukas Rupp,Pass (Live)
2021-08-14,Liverpool,Away,1,11,Diogo Jota,Saved,9,Head,,Naby Keïta,Pass (Live),,
2021-08-14,Liverpool,Away,1,18,Mohamed Salah,Saved,13,Right Foot,,Mohamed Salah,Dribble,Trent Alexander-Arnold,Pass (Live)
2021-08-14,Liverpool,Away,1,19,Alex Oxlade-Chamberlain,Off Target,24,Right Foot,Half volley,,,,
2021-08-14,Liverpool,Away,1,23,Mohamed Salah,Off Target,16,Left Foot,Volley,Sadio Mané,Pass (Live),Kostas Tsimikas,Pass (Live)
2021-08-14,Liverpool,Away,1,26,Diogo Jota,Goal,12,Right Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live)
2021-08-14,Liverpool,Away,1,33,Sadio Mané,Blocked,12,Head,,Trent Alexander-Arnold,Pass (Live),Diogo Jota,Pass (Live)
2021-08-14,Liverpool,Away,1,33,Kostas Tsimikas,Blocked,20,Left Foot,Half volley,Mohamed Salah,Pass (Live),,
2021-08-14,Liverpool,Away,1,34,Mohamed Salah,Blocked,18,Left Foot,Volley,,,,
2021-08-14,Liverpool,Away,1,34,Joël Matip,Blocked,11,Left Foot,,Mohamed Salah,Shot,,
2021-08-14,Liverpool,Away,1,35,Virgil van Dijk,Off Target,13,Right Foot,Volley,Kostas Tsimikas,Pass (Live),Trent Alexander-Arnold,Pass (Dead)
2021-08-14,Liverpool,Away,2,49,Sadio Mané,Blocked,12,Left Foot,,Trent Alexander-Arnold,Pass (Live),Naby Keïta,Pass (Live)
2021-08-14,Liverpool,Away,2,51,Alex Oxlade-Chamberlain,Wayward,24,Right Foot,Volley,,,,
2021-08-14,Liverpool,Away,2,54,Trent Alexander-Arnold,Off Target,29,Right Foot,Free kick,Diogo Jota,Fouled,Diogo Jota,Dribble
2021-08-14,Liverpool,Away,2,63,Kostas Tsimikas,Saved,15,Left Foot,,Sadio Mané,Pass (Live),Roberto Firmino,Pass (Live)
