Date,Squad,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,45+,Home_Away,order,xG
2022-01-01,Crystal Palace,1,7,Luka Milivojević,Off Target,26,Right Foot,Free kick,Christian Benteke,Fouled,Jeffrey Schlupp,Pass (Live),0,Home,185,0.0526064969599247
2022-01-01,Crystal Palace,1,8,Jeffrey Schlupp,Blocked,10,Right Foot,Half volley,Tyrick Mitchell,Pass (Live),,,0,Home,185,0.04064749926328659
2022-01-01,West Ham,1,12,Vladimír Coufal,Off Target,18,Right Foot,Half volley,,,,,0,Away,185,0.07293049246072769
2022-01-01,West Ham,1,14,Michail Antonio,Saved,6,Right Foot,Volley,Vladimír Coufal,Pass (Live),Ben Johnson,Pass (Live),0,Away,185,0.14624826610088348
2022-01-01,West Ham,1,14,Saïd Benrahma,Saved,8,Head,,Michail Antonio,Shot,,,0,Away,185,0.08230165392160416
2022-01-01,Crystal Palace,1,16,Luka Milivojević,Wayward,27,Right Foot,Volley,,,,,0,Home,185,0.01618145778775215
2022-01-01,West Ham,1,19,Saïd Benrahma,Off Target,6,Head,,Michail Antonio,Pass (Live),Manuel Lanzini,Pass (Live),0,Away,185,0.13251423835754395
2022-01-01,West Ham,1,22,Michail Antonio,Goal,7,Right Foot,Half volley,Saïd Benrahma,Pass (Live),Ben Johnson,Pass (Live),0,Away,185,0.6156590580940247
2022-01-01,West Ham,1,25,Manuel Lanzini,Goal,13,Left Foot,Half volley,Manuel Lanzini,Dribble,Declan Rice,Pass (Live),0,Away,185,0.20115789771080014
2022-01-01,Crystal Palace,1,32,Odsonne Édouard,Woodwork,14,Right Foot,,Jordan Ayew,Pass (Live),Odsonne Édouard,Pass (Live),0,Home,185,0.33353427052497864
2022-01-01,Crystal Palace,1,32,Christian Benteke,Blocked,16,Right Foot,,Will Hughes,Pass (Live),,,0,Home,185,0.09612100571393968
2022-01-01,Crystal Palace,1,33,Jeffrey Schlupp,Blocked,16,Left Foot,,Tyrick Mitchell,Pass (Live),Jeffrey Schlupp,Pass (Live),0,Home,185,0.04011163488030434
2022-01-01,Crystal Palace,1,33,Christian Benteke,Saved,8,Right Foot,Half volley,Jeffrey Schlupp,Shot,,,0,Home,185,0.104397751390934
2022-01-01,Crystal Palace,1,33,Christian Benteke,Off Target,6,Head,,Luka Milivojević,Pass (Live),Jordan Ayew,Pass (Live),0,Home,185,0.046771496534347534
2022-01-01,Crystal Palace,1,38,Jordan Ayew,Saved,25,Right Foot,,Luka Milivojević,Pass (Live),,,0,Home,185,0.01958125084638596
2022-01-01,West Ham,1,40,Jarrod Bowen,Blocked,15,Right Foot,Half volley,,,,,0,Away,185,0.09942003339529036
2022-01-01,Crystal Palace,1,42,Christian Benteke,Saved,14,Right Foot,Half volley,Joel Ward,Pass (Live),Jeffrey Schlupp,Pass (Live),0,Home,185,0.05349743366241455
2022-01-01,Crystal Palace,1,45,Will Hughes,Off Target,23,Left Foot,,Odsonne Édouard,Pass (Live),Marc Guéhi,Pass (Live),1,Home,185,0.018229471519589424
2022-01-01,Crystal Palace,2,49,Tyrick Mitchell,Blocked,16,Left Foot,,Odsonne Édouard,Pass (Live),Luka Milivojević,Pass (Live),0,Home,185,0.082757368683815
